행사명,행사 일주일 전 날짜,시작 시간,끝나는 시간,가까운 지하철역,호선,환승역,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
bts 콘서트 2019,2019-10-19,18:30,,종합운동장역,2호선,합정,하차,149,752,714,1149,1713,1948,2590,3142,3690,3424,3218,3495,3885,3618,2639,1720,1589,1289,940,127.0
bts 콘서트 2019,2019-10-20,18:30,,종합운동장역,2호선,합정,하차,63,362,435,727,1174,1782,1855,2397,2707,2434,2200,2280,2355,2026,1433,968,1017,807,524,61.0
bts 콘서트 2019,2019-10-22,18:30,,종합운동장역,2호선,합정,하차,167,885,1687,4889,3553,1829,1500,1480,1563,1706,1626,1829,2550,4195,3405,1591,1353,1112,859,298.0
bts 콘서트 2018,2018-08-18,18:30,,종합운동장역,2호선,합정,하차,139,629,608,778,1441,1508,1925,2465,2461,2848,2605,2898,3247,2894,2141,1543,1375,1097,932,122.0
bts 콘서트 2018,2018-08-19,18:30,,종합운동장역,2호선,합정,하차,69,386,436,633,947,1491,1457,1809,2237,1862,2070,2203,2194,1753,1336,1167,906,809,595,64.0
조용필 콘서트 2018,2018-05-05,19:30,,종합운동장역,2호선,합정,하차,127,506,571,816,1371,1571,1967,2496,2887,2740,2560,2756,2762,2959,2201,1580,1287,1287,1021,106.0
월드 디제이 페스티벌,2018-05-19,14:00,22:00,종합운동장역,2호선,합정,하차,164,619,720,888,1660,1787,2254,2813,3152,3278,3261,3343,3641,3631,2670,2022,1641,1331,1321,174.0
월드 디제이 페스티벌,2018-05-20,14:00,22:00,종합운동장역,2호선,합정,하차,105,364,504,624,1083,1496,1719,2167,2502,2310,2314,2535,2333,2086,1594,1297,1111,952,654,104.0
아이유 콘서트,2022-09-10,19:00,21:30,종합운동장역,2호선,홍대입구,하차,53,210,240,392,637,998,1691,2574,2978,2969,3597,3635,3628,3526,3162,2620,2116,1753,1335,337.0
아이유 콘서트,2022-09-11,19:00,21:30,종합운동장역,2호선,홍대입구,하차,70,219,266,452,1076,1765,3275,4631,5035,4964,5360,5301,5152,4991,3369,2377,2167,1788,1408,421.0
싸이 흠뻑쇼,2022-07-08,18:42,22:40,종합운동장역,2호선,홍대입구,하차,128,648,1693,4302,4749,2803,2932,3603,3990,3853,4097,4928,6864,9510,7202,3489,2970,2236,1978,904.0
싸이 흠뻑쇼,2022-07-09,18:42,22:40,종합운동장역,2호선,홍대입구,하차,136,553,597,1065,2612,3664,6278,7747,8180,7993,7788,7349,7753,6504,4541,3223,2688,2109,1964,512.0
싸이 흠뻑쇼,2022-07-10,18:42,22:40,종합운동장역,2호선,홍대입구,하차,86,300,366,719,1621,2853,4722,5569,6370,5961,5565,5155,4897,4405,2709,2115,1821,1418,981,250.0
워터밤 2022,2022-06-17,12:00,22:00,종합운동장역,2호선,홍대입구,하차,156,661,1571,4473,4588,3037,2874,3418,3854,3659,4024,4839,6526,10156,7074,3732,2746,2376,2066,912.0
워터밤 2022,2022-06-18,12:00,22:00,종합운동장역,2호선,홍대입구,하차,158,560,598,1327,2453,3373,5440,7089,7197,7257,7192,7293,7357,6166,4695,3220,2722,2289,2383,475.0
워터밤 2022,2022-06-19,12:00,22:00,종합운동장역,2호선,홍대입구,하차,124,377,368,641,1515,2301,3846,5114,5479,5099,5226,4932,4372,3825,2653,2037,1741,1305,1014,196.0
bts 콘서트 2019,2019-10-19,18:30,,종합운동장역,2호선,홍대입구,하차,155,725,717,1736,3539,4373,5878,8010,9188,9391,9189,10114,10476,10038,8140,5828,4863,3925,2688,698.0
bts 콘서트 2019,2019-10-20,18:30,,종합운동장역,2호선,홍대입구,하차,95,480,790,1269,2188,3303,4594,6504,7071,6756,6582,6688,6654,6238,4803,3324,3093,2256,1640,445.0
bts 콘서트 2019,2019-10-22,18:30,,종합운동장역,2호선,홍대입구,하차,178,872,1820,5387,5937,3580,3543,3934,4486,4309,4007,4612,6092,8917,7451,4064,3021,2425,1778,690.0
bts 콘서트 2018,2018-08-18,18:30,,종합운동장역,2호선,홍대입구,하차,193,632,855,1647,3296,4052,5790,7432,9083,8652,9110,9046,10007,9312,6993,5422,5070,3731,2984,1191.0
bts 콘서트 2018,2018-08-19,18:30,,종합운동장역,2호선,홍대입구,하차,111,399,496,966,2050,3110,4078,5601,6862,6845,6902,6825,6910,5926,4428,3424,2977,2549,1885,512.0
조용필 콘서트 2018,2018-05-05,19:30,,종합운동장역,2호선,홍대입구,하차,187,683,758,1176,2546,4286,6488,9688,11350,10887,10534,10908,10023,10268,8395,6295,4974,4079,3957,899.0
월드 디제이 페스티벌,2018-05-19,14:00,22:00,종합운동장역,2호선,홍대입구,하차,236,801,854,1633,3224,4076,5916,8609,10294,10306,10088,10659,11320,10945,9050,6936,5868,5007,3741,1240.0
월드 디제이 페스티벌,2018-05-20,14:00,22:00,종합운동장역,2호선,홍대입구,하차,131,559,776,2421,2745,3086,5199,7242,8554,8214,8026,7333,7429,6784,4890,3839,3172,2717,2076,580.0
아이유 콘서트,2022-09-10,19:00,21:30,종합운동장역,2호선,충정로(경기대입구),하차,29,48,75,97,70,99,93,144,128,161,128,192,205,160,172,142,142,125,96,33.0
아이유 콘서트,2022-09-11,19:00,21:30,종합운동장역,2호선,충정로(경기대입구),하차,18,51,58,92,108,183,117,182,184,183,185,301,258,266,197,187,204,176,165,32.0
싸이 흠뻑쇼,2022-07-08,18:42,22:40,종합운동장역,2호선,충정로(경기대입구),하차,46,265,872,2644,1153,499,379,308,413,381,368,434,599,950,593,319,338,344,238,120.0
싸이 흠뻑쇼,2022-07-09,18:42,22:40,종합운동장역,2호선,충정로(경기대입구),하차,41,177,107,284,338,475,442,525,499,390,419,373,422,328,259,255,292,238,255,6.0
싸이 흠뻑쇼,2022-07-10,18:42,22:40,종합운동장역,2호선,충정로(경기대입구),하차,28,102,76,187,228,328,233,259,273,311,257,281,286,270,286,240,211,176,120,2.0
워터밤 2022,2022-06-17,12:00,22:00,종합운동장역,2호선,충정로(경기대입구),하차,48,265,1028,2661,1055,474,333,416,429,444,439,469,607,926,563,312,367,342,246,94.0
워터밤 2022,2022-06-18,12:00,22:00,종합운동장역,2호선,충정로(경기대입구),하차,48,177,141,293,328,542,484,528,534,430,535,534,435,332,341,249,287,268,256,8.0
워터밤 2022,2022-06-19,12:00,22:00,종합운동장역,2호선,충정로(경기대입구),하차,24,79,86,173,191,244,217,285,281,291,241,307,289,301,264,219,250,192,156,7.0
bts 콘서트 2019,2019-10-19,18:30,,종합운동장역,2호선,충정로(경기대입구),하차,27,188,167,480,509,596,513,583,642,774,809,807,739,640,467,403,438,390,318,11.0
bts 콘서트 2019,2019-10-20,18:30,,종합운동장역,2호선,충정로(경기대입구),하차,14,82,123,287,301,405,310,391,505,446,380,341,416,392,347,312,326,272,200,7.0
bts 콘서트 2019,2019-10-22,18:30,,종합운동장역,2호선,충정로(경기대입구),하차,34,263,870,3433,1643,604,486,422,586,501,477,568,663,1019,790,483,463,423,279,95.0
bts 콘서트 2018,2018-08-18,18:30,,종합운동장역,2호선,충정로(경기대입구),하차,45,224,175,415,485,564,579,577,537,427,458,571,558,480,403,371,397,363,331,20.0
bts 콘서트 2018,2018-08-19,18:30,,종합운동장역,2호선,충정로(경기대입구),하차,17,84,94,228,272,243,195,240,264,258,313,312,363,278,316,357,312,318,187,24.0
조용필 콘서트 2018,2018-05-05,19:30,,종합운동장역,2호선,충정로(경기대입구),하차,48,201,157,327,282,287,511,541,486,373,396,544,477,462,388,388,362,376,294,39.0
월드 디제이 페스티벌,2018-05-19,14:00,22:00,종합운동장역,2호선,충정로(경기대입구),하차,41,186,184,398,401,489,546,689,727,496,592,625,819,586,474,438,439,459,382,85.0
월드 디제이 페스티벌,2018-05-20,14:00,22:00,종합운동장역,2호선,충정로(경기대입구),하차,31,106,102,269,241,329,366,355,361,353,345,330,414,393,355,372,423,338,251,12.0
아이유 콘서트,2022-09-10,19:00,21:30,종합운동장역,2호선,시청,하차,12,78,98,136,164,240,319,354,432,533,434,360,363,251,159,149,160,112,74,31.0
아이유 콘서트,2022-09-11,19:00,21:30,종합운동장역,2호선,시청,하차,21,96,143,198,305,400,455,443,570,505,423,383,348,259,144,141,165,140,80,36.0
싸이 흠뻑쇼,2022-07-08,18:42,22:40,종합운동장역,2호선,시청,하차,75,729,2773,9074,3777,980,857,777,966,759,679,606,850,1069,453,209,237,181,150,104.0
싸이 흠뻑쇼,2022-07-09,18:42,22:40,종합운동장역,2호선,시청,하차,30,310,266,480,511,669,815,850,905,740,760,612,662,475,275,175,204,172,135,22.0
싸이 흠뻑쇼,2022-07-10,18:42,22:40,종합운동장역,2호선,시청,하차,24,121,196,368,344,449,520,536,525,498,457,359,366,279,170,135,153,110,106,18.0
워터밤 2022,2022-06-17,12:00,22:00,종합운동장역,2호선,시청,하차,62,731,2694,9330,3528,1039,980,900,873,800,698,684,802,973,489,183,211,181,143,104.0
워터밤 2022,2022-06-18,12:00,22:00,종합운동장역,2호선,시청,하차,39,372,304,561,652,799,826,874,872,792,694,604,652,406,214,239,172,177,205,51.0
워터밤 2022,2022-06-19,12:00,22:00,종합운동장역,2호선,시청,하차,24,122,197,368,356,420,477,610,557,510,440,307,331,205,142,153,117,114,95,8.0
bts 콘서트 2019,2019-10-19,18:30,,종합운동장역,2호선,시청,하차,50,624,758,907,1148,1049,1546,2048,2215,2057,1501,1149,980,725,395,262,342,297,218,15.0
bts 콘서트 2019,2019-10-20,18:30,,종합운동장역,2호선,시청,하차,17,180,296,528,612,773,702,786,834,854,600,606,490,351,259,221,229,204,134,5.0
bts 콘서트 2019,2019-10-22,18:30,,종합운동장역,2호선,시청,하차,73,680,2945,11208,4071,1456,1207,1126,1211,1050,955,844,846,1100,580,296,238,284,191,60.0
bts 콘서트 2018,2018-08-18,18:30,,종합운동장역,2호선,시청,하차,52,411,403,750,1056,737,786,933,1030,1053,949,713,735,641,412,300,352,278,198,43.0
bts 콘서트 2018,2018-08-19,18:30,,종합운동장역,2호선,시청,하차,22,165,228,374,550,554,433,554,637,518,473,385,389,368,233,206,262,231,147,30.0
조용필 콘서트 2018,2018-05-05,19:30,,종합운동장역,2호선,시청,하차,94,575,275,484,726,806,979,977,1125,1036,900,788,791,614,386,297,282,338,203,30.0
월드 디제이 페스티벌,2018-05-19,14:00,22:00,종합운동장역,2호선,시청,하차,71,517,492,768,1127,891,998,1115,1216,1287,1063,907,944,675,439,327,372,351,246,82.0
월드 디제이 페스티벌,2018-05-20,14:00,22:00,종합운동장역,2호선,시청,하차,26,236,260,482,581,628,751,1049,1436,1004,698,517,459,401,245,242,235,224,136,16.0
아이유 콘서트,2022-09-10,19:00,21:30,종합운동장역,2호선,을지로3가,하차,24,93,120,143,145,131,184,246,307,375,385,394,558,456,369,334,327,243,110,38.0
아이유 콘서트,2022-09-11,19:00,21:30,종합운동장역,2호선,을지로3가,하차,31,249,152,393,485,525,651,496,655,631,588,701,819,754,469,344,252,250,129,27.0
싸이 흠뻑쇼,2022-07-08,18:42,22:40,종합운동장역,2호선,을지로3가,하차,54,819,3110,7614,2983,1186,857,846,786,772,705,873,1229,2019,1106,548,381,336,225,129.0
싸이 흠뻑쇼,2022-07-09,18:42,22:40,종합운동장역,2호선,을지로3가,하차,33,312,411,518,526,592,632,843,942,902,975,1123,1272,1124,678,492,460,338,241,4.0
싸이 흠뻑쇼,2022-07-10,18:42,22:40,종합운동장역,2호선,을지로3가,하차,46,323,209,520,630,643,728,729,735,682,572,711,611,547,376,295,269,151,115,11.0
워터밤 2022,2022-06-17,12:00,22:00,종합운동장역,2호선,을지로3가,하차,64,841,2960,7591,2743,1309,1064,812,948,818,796,1006,1350,2046,1211,560,403,340,210,123.0
워터밤 2022,2022-06-18,12:00,22:00,종합운동장역,2호선,을지로3가,하차,47,322,410,559,612,567,732,935,1056,980,1021,1304,1450,1159,834,524,452,332,359,1.0
워터밤 2022,2022-06-19,12:00,22:00,종합운동장역,2호선,을지로3가,하차,43,301,243,501,596,685,839,714,731,746,642,683,656,566,350,305,244,176,120,0.0
bts 콘서트 2019,2019-10-19,18:30,,종합운동장역,2호선,을지로3가,하차,41,358,528,840,889,879,1071,1210,1296,1277,1227,1262,1725,1440,1032,669,531,487,339,22.0
bts 콘서트 2019,2019-10-20,18:30,,종합운동장역,2호선,을지로3가,하차,33,405,336,766,890,1074,1145,959,1067,899,706,844,788,691,464,472,342,267,274,4.0
bts 콘서트 2019,2019-10-22,18:30,,종합운동장역,2호선,을지로3가,하차,90,703,2972,7781,3734,1553,1195,894,1170,983,906,891,1067,1440,817,411,368,326,181,74.0
bts 콘서트 2018,2018-08-18,18:30,,종합운동장역,2호선,을지로3가,하차,41,277,507,812,776,725,904,843,875,810,736,872,898,769,487,401,349,314,243,49.0
bts 콘서트 2018,2018-08-19,18:30,,종합운동장역,2호선,을지로3가,하차,41,367,319,610,837,848,951,715,742,736,550,507,480,434,346,323,327,293,200,7.0
조용필 콘서트 2018,2018-05-05,19:30,,종합운동장역,2호선,을지로3가,하차,58,263,314,494,532,523,669,713,826,767,767,724,718,676,532,412,384,407,253,28.0
월드 디제이 페스티벌,2018-05-19,14:00,22:00,종합운동장역,2호선,을지로3가,하차,61,351,532,892,908,827,907,968,984,1047,908,972,967,788,612,415,445,393,342,119.0
월드 디제이 페스티벌,2018-05-20,14:00,22:00,종합운동장역,2호선,을지로3가,하차,57,360,394,608,880,909,1122,803,893,801,600,518,529,397,340,340,304,352,211,3.0
아이유 콘서트,2022-09-10,19:00,21:30,종합운동장역,2호선,을지로4가,하차,9,51,43,59,60,91,160,138,189,221,204,185,224,204,136,178,182,130,103,31.0
아이유 콘서트,2022-09-11,19:00,21:30,종합운동장역,2호선,을지로4가,하차,17,43,51,87,84,173,211,264,308,289,301,320,266,229,173,128,153,97,107,37.0
싸이 흠뻑쇼,2022-07-08,18:42,22:40,종합운동장역,2호선,을지로4가,하차,61,592,1491,3251,1640,796,816,688,631,575,523,492,580,694,426,174,188,143,136,68.0
싸이 흠뻑쇼,2022-07-09,18:42,22:40,종합운동장역,2호선,을지로4가,하차,38,346,365,587,528,560,670,688,634,614,550,488,512,427,251,160,185,123,120,0.0
싸이 흠뻑쇼,2022-07-10,18:42,22:40,종합운동장역,2호선,을지로4가,하차,17,106,101,128,187,252,276,376,367,333,289,283,251,209,156,154,194,111,86,1.0
워터밤 2022,2022-06-17,12:00,22:00,종합운동장역,2호선,을지로4가,하차,58,578,1523,3418,1535,801,902,744,705,700,626,651,684,744,387,192,134,181,105,71.0
워터밤 2022,2022-06-18,12:00,22:00,종합운동장역,2호선,을지로4가,하차,42,322,360,647,580,597,731,780,761,689,647,605,599,468,250,198,163,148,150,4.0
워터밤 2022,2022-06-19,12:00,22:00,종합운동장역,2호선,을지로4가,하차,16,79,91,165,189,275,376,369,402,384,342,306,249,199,134,112,130,114,75,2.0
bts 콘서트 2019,2019-10-19,18:30,,종합운동장역,2호선,을지로4가,하차,43,261,476,873,838,858,1054,1162,1118,1109,970,892,747,611,412,247,240,276,209,13.0
bts 콘서트 2019,2019-10-20,18:30,,종합운동장역,2호선,을지로4가,하차,26,109,119,216,282,384,433,525,507,493,401,449,385,272,209,222,203,186,143,3.0
bts 콘서트 2019,2019-10-22,18:30,,종합운동장역,2호선,을지로4가,하차,60,425,1351,3739,1858,1110,1061,968,877,855,782,692,648,545,314,237,164,207,120,59.0
bts 콘서트 2018,2018-08-18,18:30,,종합운동장역,2호선,을지로4가,하차,54,471,485,942,793,768,772,817,726,618,675,638,529,371,274,165,205,209,161,17.0
bts 콘서트 2018,2018-08-19,18:30,,종합운동장역,2호선,을지로4가,하차,11,131,108,153,201,262,318,372,339,291,352,298,290,199,232,169,187,162,157,5.0
조용필 콘서트 2018,2018-05-05,19:30,,종합운동장역,2호선,을지로4가,하차,41,403,363,586,603,802,844,981,867,716,749,627,545,436,229,265,223,222,150,7.0
월드 디제이 페스티벌,2018-05-19,14:00,22:00,종합운동장역,2호선,을지로4가,하차,44,466,535,1018,892,809,952,1094,1072,892,863,802,687,485,359,244,247,214,211,45.0
월드 디제이 페스티벌,2018-05-20,14:00,22:00,종합운동장역,2호선,을지로4가,하차,16,110,115,167,265,345,452,549,511,423,371,311,381,242,212,213,160,183,157,0.0
아이유 콘서트,2022-09-10,19:00,21:30,종합운동장역,2호선,동대문역사문화공원,하차,33,86,98,179,242,299,481,548,664,627,672,680,684,572,395,477,390,277,193,72.0
아이유 콘서트,2022-09-11,19:00,21:30,종합운동장역,2호선,동대문역사문화공원,하차,29,114,131,250,380,771,906,945,1097,993,1011,869,939,651,405,364,363,308,191,70.0
