행사명,행사 일주일 전 날짜,시작 시간,끝나는 시간,가까운 지하철역,호선,환승역,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
아이유 콘서트,2022-09-10,19:00,21:30,종합운동장역,2호선,신도림,하차,90,247,354,489,469,558,747,858,910,949,1071,1260,1274,1264,1021,911,1031,840,748,313.0
아이유 콘서트,2022-09-11,19:00,21:30,종합운동장역,2호선,신도림,하차,108,260,242,422,628,1095,1003,1225,1379,1383,1538,1748,1973,1895,1410,1171,1262,1275,1172,548.0
싸이 흠뻑쇼,2022-07-08,18:42,22:40,종합운동장역,2호선,신도림,하차,182,737,1674,4631,2245,1840,1715,1766,1912,1974,2267,2970,4327,7877,5206,2611,2485,2526,2121,1489.0
싸이 흠뻑쇼,2022-07-09,18:42,22:40,종합운동장역,2호선,신도림,하차,183,618,714,1191,1475,2311,2754,2975,3052,2801,2896,3266,3604,3184,2209,1907,2118,2186,2115,705.0
싸이 흠뻑쇼,2022-07-10,18:42,22:40,종합운동장역,2호선,신도림,하차,142,573,450,758,1021,1957,1896,2235,2384,1949,2082,2149,2317,2124,1754,1649,1663,1338,1116,287.0
워터밤 2022,2022-06-17,12:00,22:00,종합운동장역,2호선,신도림,하차,184,758,1743,4752,2474,1980,1986,1987,2092,2110,2530,2944,4560,8108,5298,2602,2493,2480,2757,1432.0
워터밤 2022,2022-06-18,12:00,22:00,종합운동장역,2호선,신도림,하차,184,809,758,1445,1614,2963,3200,3488,3541,3150,3271,3718,3713,3182,2226,2034,2128,2158,2193,708.0
워터밤 2022,2022-06-19,12:00,22:00,종합운동장역,2호선,신도림,하차,164,664,500,774,1095,2281,2151,2396,2376,2206,2335,2242,2218,2201,1743,1575,1508,1378,1252,278.0
bts 콘서트 2019,2019-10-19,18:30,,종합운동장역,2호선,신도림,하차,256,1004,1036,2124,2237,3543,4498,4735,5107,4334,4450,5454,5277,4809,3525,2872,2803,3094,2895,751.0
bts 콘서트 2019,2019-10-20,18:30,,종합운동장역,2호선,신도림,하차,202,981,656,1152,1941,3346,3120,3587,3707,3392,2972,3055,3109,3019,2434,2089,2078,1817,1543,285.0
bts 콘서트 2019,2019-10-22,18:30,,종합운동장역,2호선,신도림,하차,223,810,1914,5974,3379,2334,2263,2309,2426,2604,2734,3360,4577,7477,6402,3346,3161,3299,2279,1101.0
bts 콘서트 2018,2018-08-18,18:30,,종합운동장역,2호선,신도림,하차,219,766,891,1752,2307,3056,3818,4196,4187,3898,3943,4040,4517,3949,2826,2460,2494,2805,2669,971.0
bts 콘서트 2018,2018-08-19,18:30,,종합운동장역,2호선,신도림,하차,150,760,632,1109,1696,2793,2599,3144,2975,2885,2795,2827,2856,2790,2319,2026,2093,1882,1723,321.0
조용필 콘서트 2018,2018-05-05,19:30,,종합운동장역,2호선,신도림,하차,258,1031,801,1186,1793,2716,3221,3788,3779,3050,3286,3570,4187,4329,2902,2615,2539,2632,2900,838.0
월드 디제이 페스티벌,2018-05-19,14:00,22:00,종합운동장역,2호선,신도림,하차,331,1115,1116,1809,2254,3562,4666,4891,4705,4625,4636,5147,4908,4561,3711,3102,2931,3196,3452,977.0
월드 디제이 페스티벌,2018-05-20,14:00,22:00,종합운동장역,2호선,신도림,하차,239,943,779,1155,2009,3149,2968,3403,3389,2883,2748,3006,3147,3285,2586,2280,2397,2178,2170,489.0
아이유 콘서트,2022-09-10,19:00,21:30,종합운동장역,2호선,영등포구청,하차,42,130,117,217,196,204,195,249,257,269,293,346,360,334,266,250,266,254,166,47.0
아이유 콘서트,2022-09-11,19:00,21:30,종합운동장역,2호선,영등포구청,하차,41,120,105,207,240,271,273,337,340,381,406,510,504,493,378,350,383,326,267,64.0
싸이 흠뻑쇼,2022-07-08,18:42,22:40,종합운동장역,2호선,영등포구청,하차,113,538,1601,5513,2344,924,876,754,850,818,950,1059,1383,2301,1602,755,680,661,554,287.0
싸이 흠뻑쇼,2022-07-09,18:42,22:40,종합운동장역,2호선,영등포구청,하차,95,366,302,651,715,784,916,930,1067,1028,863,1020,980,854,661,540,569,502,473,31.0
싸이 흠뻑쇼,2022-07-10,18:42,22:40,종합운동장역,2호선,영등포구청,하차,51,203,174,339,362,463,531,602,667,500,533,522,627,564,441,432,486,352,252,4.0
워터밤 2022,2022-06-17,12:00,22:00,종합운동장역,2호선,영등포구청,하차,121,611,1620,5737,2248,1000,876,832,895,881,939,1134,1409,2367,1495,717,716,637,525,309.0
워터밤 2022,2022-06-18,12:00,22:00,종합운동장역,2호선,영등포구청,하차,123,425,348,626,755,1039,1040,1178,1190,1134,1119,1343,1225,938,617,484,524,540,606,63.0
워터밤 2022,2022-06-19,12:00,22:00,종합운동장역,2호선,영등포구청,하차,76,223,153,354,404,636,698,791,801,689,668,638,705,553,515,448,456,395,238,42.0
bts 콘서트 2019,2019-10-19,18:30,,종합운동장역,2호선,영등포구청,하차,178,654,418,770,843,985,1156,1148,1249,1446,1204,1374,1370,1232,952,734,683,697,580,31.0
bts 콘서트 2019,2019-10-20,18:30,,종합운동장역,2호선,영등포구청,하차,108,369,233,420,445,783,874,848,933,767,745,749,809,751,674,581,570,513,339,11.0
bts 콘서트 2019,2019-10-22,18:30,,종합운동장역,2호선,영등포구청,하차,129,628,1548,6136,2460,1066,909,1069,1071,966,1044,1134,1517,2413,1888,1014,967,855,546,231.0
bts 콘서트 2018,2018-08-18,18:30,,종합운동장역,2호선,영등포구청,하차,79,305,361,763,759,741,764,920,770,815,780,886,1058,1056,696,676,582,626,575,63.0
bts 콘서트 2018,2018-08-19,18:30,,종합운동장역,2호선,영등포구청,하차,63,211,211,337,459,595,497,531,605,627,661,696,722,694,596,524,536,487,393,12.0
조용필 콘서트 2018,2018-05-05,19:30,,종합운동장역,2호선,영등포구청,하차,174,439,298,470,606,490,615,677,710,761,715,818,1015,990,813,683,644,632,521,53.0
월드 디제이 페스티벌,2018-05-19,14:00,22:00,종합운동장역,2호선,영등포구청,하차,142,516,443,813,924,815,970,926,1015,1086,923,1063,1148,1168,871,823,737,815,648,131.0
월드 디제이 페스티벌,2018-05-20,14:00,22:00,종합운동장역,2호선,영등포구청,하차,102,328,155,325,509,576,638,583,581,590,613,696,729,814,677,581,616,553,458,51.0
아이유 콘서트,2022-09-10,19:00,21:30,종합운동장역,2호선,당산,하차,40,149,160,236,206,267,299,384,343,363,431,489,458,476,397,366,387,339,208,42.0
아이유 콘서트,2022-09-11,19:00,21:30,종합운동장역,2호선,당산,하차,36,134,118,201,276,317,323,422,473,468,562,610,638,609,542,565,515,504,432,60.0
싸이 흠뻑쇼,2022-07-08,18:42,22:40,종합운동장역,2호선,당산,하차,104,509,1299,3175,1410,617,580,708,656,734,822,1172,1779,3080,1965,1014,1168,1150,827,385.0
싸이 흠뻑쇼,2022-07-09,18:42,22:40,종합운동장역,2호선,당산,하차,97,339,301,556,676,580,707,757,807,702,756,1070,1137,1029,791,816,941,878,724,27.0
싸이 흠뻑쇼,2022-07-10,18:42,22:40,종합운동장역,2호선,당산,하차,60,214,225,332,424,381,449,462,509,553,539,731,731,817,679,596,661,570,409,14.0
워터밤 2022,2022-06-17,12:00,22:00,종합운동장역,2호선,당산,하차,113,507,1331,3357,1495,704,653,682,776,806,1073,1192,1976,3260,2000,1105,1099,1243,857,414.0
워터밤 2022,2022-06-18,12:00,22:00,종합운동장역,2호선,당산,하차,96,339,326,596,763,735,830,901,962,899,919,1193,1302,1108,985,850,841,830,786,69.0
워터밤 2022,2022-06-19,12:00,22:00,종합운동장역,2호선,당산,하차,55,232,203,385,441,493,569,565,669,608,680,847,836,789,698,681,665,579,422,31.0
bts 콘서트 2019,2019-10-19,18:30,,종합운동장역,2호선,당산,하차,128,478,430,832,1102,1018,1287,1309,1399,1529,1621,1914,2023,1730,1347,1242,1198,1178,940,42.0
bts 콘서트 2019,2019-10-20,18:30,,종합운동장역,2호선,당산,하차,84,314,225,503,634,782,935,1043,967,1008,1124,1171,1162,1174,926,849,817,747,518,21.0
bts 콘서트 2019,2019-10-22,18:30,,종합운동장역,2호선,당산,하차,164,655,1418,4552,1874,847,859,806,1086,979,1110,1328,1910,3249,2521,1531,1632,1351,847,245.0
bts 콘서트 2018,2018-08-18,18:30,,종합운동장역,2호선,당산,하차,175,399,379,723,894,667,791,1078,932,916,1049,1209,1482,1444,1168,1067,995,1060,763,124.0
bts 콘서트 2018,2018-08-19,18:30,,종합운동장역,2호선,당산,하차,92,295,253,379,527,453,744,772,699,681,772,884,998,1001,840,803,894,753,532,6.0
조용필 콘서트 2018,2018-05-05,19:30,,종합운동장역,2호선,당산,하차,161,437,313,484,729,636,825,783,917,942,1096,1144,1236,1355,997,1020,983,1054,796,56.0
월드 디제이 페스티벌,2018-05-19,14:00,22:00,종합운동장역,2호선,당산,하차,172,500,444,935,1142,936,1071,1347,1377,1316,1348,1448,1778,1587,1314,1232,1256,1293,1019,203.0
월드 디제이 페스티벌,2018-05-20,14:00,22:00,종합운동장역,2호선,당산,하차,98,367,315,443,613,678,905,886,921,894,958,1114,1095,1195,938,928,924,844,511,72.0
아이유 콘서트,2022-09-10,19:00,21:30,종합운동장역,2호선,합정,하차,39,120,190,265,352,476,667,842,912,930,1046,1104,1255,1148,902,695,684,611,405,119.0
아이유 콘서트,2022-09-11,19:00,21:30,종합운동장역,2호선,합정,하차,41,138,207,363,643,984,1135,1427,1748,1605,1691,1913,1987,1863,1107,929,838,662,504,154.0
싸이 흠뻑쇼,2022-07-08,18:42,22:40,종합운동장역,2호선,합정,하차,98,502,1380,4110,3487,1614,1420,1488,1644,1623,1565,2064,3267,5507,3696,1547,1373,1205,972,482.0
싸이 흠뻑쇼,2022-07-09,18:42,22:40,종합운동장역,2호선,합정,하차,93,381,449,762,1359,1584,2267,2579,3056,2663,2936,3344,3306,2865,1844,1230,1082,967,768,145.0
싸이 흠뻑쇼,2022-07-10,18:42,22:40,종합운동장역,2호선,합정,하차,64,222,362,599,1068,1410,1727,1957,2229,1949,1968,2081,2112,1855,1249,897,811,588,477,60.0
워터밤 2022,2022-06-17,12:00,22:00,종합운동장역,2호선,합정,하차,118,565,1423,4187,3479,1728,1451,1636,1716,1681,1478,2206,3248,5383,4007,1631,1315,1210,961,509.0
워터밤 2022,2022-06-18,12:00,22:00,종합운동장역,2호선,합정,하차,94,417,444,818,1309,1916,2583,2706,3173,2681,2994,3131,3501,2837,1752,1221,1276,1025,1010,141.0
워터밤 2022,2022-06-19,12:00,22:00,종합운동장역,2호선,합정,하차,65,244,275,546,953,1348,1738,2043,2297,1818,1836,1967,1973,1607,1047,868,815,606,480,67.0
