행사명,행사날짜,시작 시간,끝나는 시간,호선,가까운 지하철역,인원,승/하차 인원,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시 이후
엑소 콘서트 2017,2017.5.28,18:00,,2호선,종합운동장역,,승차,120,151,196,335,632,978,1264,1387,1438,1475,1808,1762,5356,1437,590,453,9958,5706,190,0
엑소 콘서트 2017,2017.5.28,18:00,,2호선,종합운동장역,,하차,67,535,723,966,1771,2026,2977,4061,6975,3827,3278,4652,4304,813,681,672,736,587,249,8
대한민국 vs 카메룬,2022.9.27,20:00,21:50,6호선,월드컵 경기장역,54910,승차,41,121,429,436,235,191,247,328,294,379,509,663,595,593,375,330,5381,12748,936,75
대한민국 vs 카메룬,2022.9.27,20:00,21:50,6호선,월드컵 경기장역,,하차,78,161,229,385,464,427,473,711,542,536,672,1315,4109,11931,13416,895,215,160,67,26
토트넘 vs 팀k리그,2022.7.13,20:00,21:50,6호선,월드컵 경기장역,63234,승차,35,113,357,450,182,138,177,240,205,262,298,445,538,599,455,285,6244,14956,1331,45
토트넘 vs 팀k리그,2022.7.13,20:00,21:50,6호선,월드컵 경기장역,,하차,66,147,247,400,335,212,266,841,435,559,1192,2766,7335,15405,14064,982,263,267,66,25
대한민국 vs 이집트,2022.6.14,20:00,21:50,6호선,월드컵 경기장역,53769,승차,38,114,378,434,207,221,251,249,266,351,406,599,524,484,337,296,5559,13706,813,92
대한민국 vs 이집트,2022.6.14,20:00,21:50,6호선,월드컵 경기장역,,하차,60,147,196,383,361,381,401,779,551,496,738,1503,4828,11882,11593,791,212,212,71,25
대한민국 vs 브라질,2022.6.2,20:00,21:50,6호선,월드컵 경기장역,61633,승차,43,124,370,415,203,205,267,257,299,470,438,601,628,670,444,554,5159,14328,1095,3
대한민국 vs 브라질,2022.6.2,20:00,21:50,6호선,월드컵 경기장역,,하차,53,142,188,389,497,398,462,704,652,725,1140,2812,8027,15251,11354,636,226,375,119,8
대한민국 vs 이란,2022.3.24,20:00,21:50,6호선,월드컵 경기장역,61226,승차,32,80,308,329,183,152,199,208,229,270,379,406,399,462,301,313,5992,14823,994,
대한민국 vs 이란,2022.3.24,20:00,21:50,6호선,월드컵 경기장역,,하차,34,86,166,331,297,241,236,317,712,452,575,1243,4513,13115,13660,922,183,333,96,
유벤투스 vs 팀 k리그,2019.7.26,20:00,21:50,6호선,월드컵 경기장역,62689,승차,39,107,351,468,198,195,165,263,280,338,382,562,730,761,520,383,595,15039,13166,352
유벤투스 vs 팀 k리그,2019.7.26,20:00,21:50,6호선,월드컵 경기장역,,하차,53,104,212,454,318,288,300,525,843,1076,2002,4119,8428,13811,13734,1207,305,500,1565,66
대한민국 vs 콜롬비아,2019.3.26,20:00,21:50,6호선,월드컵 경기장역,64412,승차,46,110,438,534,314,214,244,252,315,441,551,614,633,627,423,391,7382,22970,1463,92
대한민국 vs 콜롬비아,2019.3.26,20:00,21:50,6호선,월드컵 경기장역,,하차,44,106,225,702,388,299,416,452,902,941,1120,1978,5322,13305,17276,1264,343,1050,154,37
대한민국 vs 우루과이,2018.10.12,20:00,21:50,6호선,월드컵 경기장역,64170,승차,40,113,401,671,280,209,359,435,568,1031,1295,1521,1405,1747,1245,645,8786,23435,2099,80
대한민국 vs 우루과이,2018.10.12,20:00,21:50,6호선,월드컵 경기장역,,하차,43,105,241,720,949,937,975,1146,1938,2342,3319,5498,9691,14066,13961,1658,431,1418,163,76
빅뱅 10주년 콘서트,2016.8.20,19:00,,6호선,월드컵 경기장역,64816,승차,39,101,148,209,264,355,537,856,1042,1525,1786,1897,1537,1000,719,614,2199,18305,8829,4
빅뱅 10주년 콘서트,2016.8.20,19:00,,6호선,월드컵 경기장역,,하차,73,242,451,943,1830,1965,2643,3064,4036,4673,6714,7431,9477,7648,1169,399,510,405,351,8
서울 세계 불꽃 축제,2022.10.8,20:00,20:30,5호선,여의나루역,,승차,25,59,89,147,171,195,314,418,629,795,1049,1350,1301,1240,2830,444,1832,8546,2824,
서울 세계 불꽃 축제,2022.10.8,20:00,20:30,5호선,여의나루역,,하차,49,253,355,919,1076,2037,2668,3679,6218,8175,11719,14123,12344,15569,15729,5886,1038,394,156,
