행사명,행사 일주일 후 날짜,시작 시간,끝나는 시간,가까운 지하철역,호선,환승역,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
서울 세계 불꽃 축제,2022-10-15,20:00,20:30,여의나루역,5호선,김포공항,하차,59,343,342,377,470,560,711,621,751,664,768,718,636,563,315,193,83,54,74,25.0
서울 세계 불꽃 축제,2022-10-15,20:00,20:30,여의나루역,5호선,까치산,하차,67,272,276,491,565,560,808,1038,1101,1221,1469,1762,2123,2264,1737,1795,1725,1428,1212,133.0
서울 세계 불꽃 축제,2022-10-15,20:00,20:30,여의나루역,5호선,영등포구청,하차,42,86,73,128,159,119,163,151,141,177,182,181,213,157,132,114,134,98,85,2.0
서울 세계 불꽃 축제,2022-10-15,20:00,20:30,여의나루역,5호선,신길,하차,17,55,66,158,126,119,112,156,161,203,253,255,288,267,208,242,247,239,217,3.0
서울 세계 불꽃 축제,2022-10-15,20:00,20:30,여의나루역,5호선,여의도,하차,99,840,568,794,933,907,1231,1164,1220,1114,1171,1131,1164,802,492,280,241,214,120,102.0
서울 세계 불꽃 축제,2022-10-15,20:00,20:30,여의나루역,5호선,공덕,하차,39,158,222,388,547,581,608,673,580,556,608,750,871,652,468,400,385,310,269,5.0
서울 세계 불꽃 축제,2022-10-15,20:00,20:30,여의나루역,5호선,종로3가,하차,19,120,174,374,715,1028,1468,1574,1496,1621,1501,1496,1428,1199,805,561,478,263,167,15.0
서울 세계 불꽃 축제,2022-10-15,20:00,20:30,여의나루역,5호선,을지로4가,하차,27,151,194,386,312,337,425,459,449,377,337,344,339,254,132,90,95,63,45,6.0
서울 세계 불꽃 축제,2022-10-15,20:00,20:30,여의나루역,5호선,동대문역사문화공원(DDP),하차,6,40,62,145,76,87,107,126,104,167,148,160,139,96,75,69,75,43,49,7.0
서울 세계 불꽃 축제,2022-10-15,20:00,20:30,여의나루역,5호선,청구,하차,6,50,71,151,136,105,131,140,152,173,214,225,214,250,187,151,191,117,106,12.0
서울 세계 불꽃 축제,2022-10-15,20:00,20:30,여의나루역,5호선,군자(능동),하차,17,224,203,319,348,357,438,590,655,611,697,864,1041,976,742,628,738,582,524,215.0
서울 세계 불꽃 축제,2022-10-15,20:00,20:30,여의나루역,5호선,천호(풍납토성),하차,69,501,368,643,1025,1142,1162,1342,1452,1358,1366,1474,1727,1320,1021,696,756,632,470,35.0
서울 세계 불꽃 축제,2022-10-15,20:00,20:30,여의나루역,5호선,강동,하차,42,356,372,633,563,583,724,877,1032,984,918,1024,1119,1077,752,738,742,746,601,138.0
서울 세계 불꽃 축제,2022-10-15,20:00,20:30,여의나루역,5호선,올림픽공원(한국체대),하차,29,98,110,174,361,351,342,476,525,708,734,825,690,239,192,203,121,142,117,0.0
서울 세계 불꽃 축제,2022-10-15,20:00,20:30,여의나루역,5호선,개롱,하차,30,113,182,314,322,169,230,224,282,277,335,403,408,431,399,323,317,318,159,48.0
