행사명,행사날짜,시작 시간,끝나는 시간,호선,가까운 지하철역,인원,승/하차 인원,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시 이후
엑소 콘서트 2017,2017.6.3,19:00,,2호선,종합운동장역,,승차,96,191,257,487,623,607,"1,074",813,966,899,"1,002","1,066","1,256",810,792,"5,881","5,105",526,127,0
엑소 콘서트 2017,2017.5.21,18:00,,2호선,종합운동장역,,승차,93,127,186,330,449,626,750,799,976,946,991,"2,581","8,615","1,288",540,482,497,181,89,0
엑소 콘서트 2017,2017.6.4,18:00,,2호선,종합운동장역,,승차,77,119,151,293,496,566,717,734,934,709,840,693,724,713,"1,574","4,933","3,659",282,96,1
대한민국 vs 카메룬,2022.9.20,20:00,21:50,6호선,월드컵 경기장역,54910,승차,36,123,413,438,215,201,230,235,241,277,440,591,531,442,269,141,152,103,31,13
대한민국 vs 카메룬,2022.10.4,20:00,21:50,6호선,월드컵 경기장역,,승차,34,109,399,453,198,174,262,278,223,280,410,504,413,464,206,144,193,137,36,14
토트넘 vs 팀k리그,2022.7.6,20:00,21:50,6호선,월드컵 경기장역,63234,승차,39,137,383,455,220,178,263,233,278,290,290,412,466,451,249,284,3704,797,106,19
토트넘 vs 팀k리그,2022.7.20,20:00,21:50,6호선,월드컵 경기장역,,승차,34,118,365,435,217,215,228,233,224,295,311,399,462,454,286,173,188,174,35,18
대한민국 vs 이집트,2022.6.7,20:00,21:50,6호선,월드컵 경기장역,53769,승차,42,121,392,421,214,189,250,262,242,303,343,479,438,447,219,192,172,120,27,11
대한민국 vs 이집트,2022.6.21,20:00,21:50,6호선,월드컵 경기장역,,승차,36,124,371,428,214,169,242,250,275,288,369,463,443,398,234,191,156,113,33,22
대한민국 vs 브라질,2022.5.26,20:00,21:50,6호선,월드컵 경기장역,61633,승차,40,123,380,435,216,228,226,259,306,349,407,458,479,411,252,202,283,247,46,0
대한민국 vs 브라질,2022.6.9,20:00,21:50,6호선,월드컵 경기장역,,승차,38,119,354,420,205,172,170,283,298,265,319,418,418,418,234,218,202,141,53,14
대한민국 vs 이란,2022.3.17,20:00,21:50,6호선,월드컵 경기장역,61226,승차,41,81,285,370,178,142,169,187,212,278,315,398,353,309,180,128,116,92,24,0
대한민국 vs 이란,2022.3.31,20:00,21:50,6호선,월드컵 경기장역,,승차,39,108,295,376,189,148,195,222,268,295,376,525,384,374,218,189,179,88,28,0
유벤투스 vs 팀 k리그,2019.7.19,20:00,21:50,6호선,월드컵 경기장역,62689,승차,60,138,421,528,286,212,246,254,327,311,469,489,575,619,369,322,257,457,129,54
유벤투스 vs 팀 k리그,2019.8.2,20:00,21:50,6호선,월드컵 경기장역,,승차,44,106,353,475,246,218,242,265,313,307,425,440,602,600,374,364,1675,5090,353,64
대한민국 vs 콜롬비아,2019.3.19,20:00,21:50,6호선,월드컵 경기장역,64412,승차,46,125,432,526,295,211,263,295,310,347,450,458,496,520,266,215,174,179,43,19
대한민국 vs 콜롬비아,2019.4.2,20:00,21:50,6호선,월드컵 경기장역,,승차,44,100,459,541,282,201,223,305,322,379,429,481,513,489,281,191,236,196,50,27
대한민국 vs 우루과이,2018.10.5,20:00,21:50,6호선,월드컵 경기장역,64170,승차,41,119,404,520,264,225,171,273,328,267,381,420,486,463,292,224,227,227,101,59
대한민국 vs 우루과이,2018.10.19,20:00,21:50,6호선,월드컵 경기장역,,승차,48,115,402,516,345,359,555,1075,1339,2016,2210,2467,2289,2087,1291,1087,590,275,113,50
빅뱅 10주년 콘서트,2016.8.13,19:00,,6호선,월드컵 경기장역,64816,승차,48,84,116,167,198,222,345,344,356,434,588,619,687,627,608,"1,934","8,447",953,283,1
빅뱅 10주년 콘서트,2016.8.27,19:00,,6호선,월드컵 경기장역,,승차,27,84,123,173,208,283,378,460,590,631,691,871,910,985,750,701,488,387,239,0
서울 세계 불꽃 축제,2022.10.1,20:00,20:30,5호선,여의나루역,,승차,46,68,77,154,171,200,338,318,399,718,865,1314,1744,2109,2411,3127,3119,3064,1276,0
서울 세계 불꽃 축제,2022.10.15,20:00,20:30,5호선,여의나루역,,승차,29,66,81,156,151,152,236,429,671,696,1012,1459,2005,2385,2147,2456,2229,1903,845,0
