행사명,날짜,시작 시간,끝나는 시간,가까운 지하철역,호선,환승역,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
대한민국 vs 이란,2022-03-24,20:00,21:50,월드컵 경기장역,6호선,신내,하차,18.5,56.5,92.5,228.0,182.0,115.0,177.0,116.5,116.0,124.5,120.0,221.5,268.5,516.0,466.0,171.5,195.5,156.0,120.5,123.0
대한민국 vs 카메룬,2022-09-27,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,38.5,89.0,166.0,413.5,300.0,168.0,287.5,227.0,238.5,254.5,280.5,402.5,533.5,1048.0,839.0,375.0,401.5,332.0,250.5,114.0
토트넘 vs 팀k리그,2022-07-13,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,30.0,106.5,154.5,362.0,261.5,181.5,236.5,230.0,242.5,246.0,260.0,386.0,484.5,1021.5,801.0,405.5,406.5,332.0,312.0,114.5
대한민국 vs 이집트,2022-06-14,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,26.5,104.0,192.5,382.0,299.0,202.0,315.0,249.5,246.0,274.0,300.0,384.5,513.0,1019.5,877.0,398.0,426.5,355.5,276.5,105.0
대한민국 vs 브라질,2022-06-02,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,33.0,101.0,163.0,383.0,286.5,275.0,365.5,236.5,290.5,288.5,301.5,424.5,515.5,959.5,833.5,357.5,399.0,409.0,408.0,
대한민국 vs 이란,2022-03-24,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,33.0,100.5,150.0,303.5,233.0,194.0,218.5,209.5,235.5,242.5,271.0,298.5,491.0,869.5,765.0,350.5,364.0,360.5,319.0,233.0
유벤투스 vs 팀 k리그,2019-07-26,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,35.0,142.0,216.0,500.0,363.0,258.5,357.0,240.5,276.5,316.0,319.5,368.0,568.5,900.0,965.0,486.0,460.0,456.5,353.0,193.0
대한민국 vs 콜롬비아,2019-03-26,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,34.0,136.5,209.5,546.0,381.5,281.5,382.0,284.0,254.5,314.5,308.5,429.5,554.5,932.5,960.0,505.5,482.0,471.5,372.5,194.0
대한민국 vs 우루과이,2018-10-12,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,53.0,168.0,263.0,615.0,441.0,322.0,426.5,404.5,405.0,425.0,476.5,672.5,834.5,1498.5,1378.5,733.0,640.5,550.5,422.5,172.5
대한민국 vs 카메룬,2022-09-27,20:00,21:50,월드컵 경기장역,6호선,석계,하차,71.0,187.0,325.0,640.0,473.0,388.0,466.0,455.5,510.5,491.5,655.0,971.5,1201.5,2236.0,1835.5,933.0,823.0,803.5,464.0,151.0
토트넘 vs 팀k리그,2022-07-13,20:00,21:50,월드컵 경기장역,6호선,석계,하차,65.0,198.0,346.0,528.5,373.0,332.5,358.5,465.5,471.5,521.5,602.5,953.5,1241.0,2136.5,1853.5,938.5,820.0,807.0,570.5,173.5
대한민국 vs 이집트,2022-06-14,20:00,21:50,월드컵 경기장역,6호선,석계,하차,70.0,195.5,357.5,600.5,434.0,373.5,429.0,493.0,513.5,518.0,700.5,919.5,1205.5,2086.5,1813.5,909.5,831.0,755.0,458.0,126.0
대한민국 vs 브라질,2022-06-02,20:00,21:50,월드컵 경기장역,6호선,석계,하차,62.5,180.5,341.0,638.0,442.0,375.5,414.5,485.5,496.5,557.5,615.5,923.0,1202.5,1993.5,1644.0,890.5,786.0,843.5,622.0,
대한민국 vs 이란,2022-03-24,20:00,21:50,월드컵 경기장역,6호선,석계,하차,69.0,176.5,269.5,528.0,378.0,372.5,343.5,440.0,465.0,485.0,617.5,801.5,1129.0,1814.5,1769.5,876.5,794.5,707.0,596.0,283.0
유벤투스 vs 팀 k리그,2019-07-26,20:00,21:50,월드컵 경기장역,6호선,석계,하차,106.0,227.0,398.5,665.5,474.5,451.0,449.5,552.5,532.0,555.5,710.5,922.0,1286.5,2024.0,2171.5,1227.5,1088.5,1022.5,709.0,287.0
대한민국 vs 콜롬비아,2019-03-26,20:00,21:50,월드컵 경기장역,6호선,석계,하차,91.5,238.0,380.5,715.5,501.5,457.5,494.5,530.5,567.0,618.0,760.0,1006.5,1330.5,2001.0,2243.0,1230.0,1077.5,1045.0,749.0,315.0
대한민국 vs 우루과이,2018-10-12,20:00,21:50,월드컵 경기장역,6호선,석계,하차,60.0,198.5,395.0,822.0,489.5,327.0,382.5,375.5,416.0,426.5,536.5,667.5,917.5,1557.5,1484.0,844.0,733.5,727.5,478.5,214.0
대한민국 vs 카메룬,2022-09-27,20:00,21:50,월드컵 경기장역,6호선,보문,하차,32.0,146.5,386.5,896.5,437.5,245.0,227.5,236.0,288.5,236.0,293.5,331.0,550.5,943.0,809.5,438.5,367.5,447.0,259.0,101.5
