행사명,날짜,시작 시간,끝나는 시간,가까운 지하철역,호선,환승역,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
토트넘 vs 팀k리그,2022-07-13,20:00,21:50,월드컵 경기장역,6호선,보문,하차,30.0,154.5,419.0,864.0,386.5,242.5,213.5,227.5,267.0,219.0,292.0,337.0,513.0,1010.0,697.5,428.5,438.0,401.5,296.5,106.0
대한민국 vs 이집트,2022-06-14,20:00,21:50,월드컵 경기장역,6호선,보문,하차,29.5,136.5,437.5,788.0,394.0,256.0,209.0,236.5,306.0,220.5,307.5,335.0,524.5,935.5,688.0,423.0,375.5,401.0,252.0,77.5
대한민국 vs 브라질,2022-06-02,20:00,21:50,월드컵 경기장역,6호선,보문,하차,27.0,135.0,377.5,789.5,359.0,228.5,177.0,214.5,259.5,222.0,287.0,353.5,492.0,828.0,643.0,394.5,379.5,428.5,357.5,
대한민국 vs 이란,2022-03-24,20:00,21:50,월드컵 경기장역,6호선,보문,하차,23.0,113.0,290.5,725.5,359.0,203.5,189.0,237.5,239.5,224.0,261.0,315.0,424.5,788.0,655.0,346.0,311.0,397.0,329.5,185.0
유벤투스 vs 팀 k리그,2019-07-26,20:00,21:50,월드컵 경기장역,6호선,보문,하차,27.5,121.0,372.0,905.5,488.5,287.0,228.0,260.5,278.5,282.0,322.5,383.0,496.5,878.0,779.0,471.5,464.0,511.0,342.0,177.0
대한민국 vs 콜롬비아,2019-03-26,20:00,21:50,월드컵 경기장역,6호선,보문,하차,31.5,123.5,402.0,944.0,495.5,297.5,263.5,257.0,280.5,293.5,340.0,386.0,521.5,874.5,815.0,466.5,440.0,500.5,351.5,164.0
대한민국 vs 우루과이,2018-10-12,20:00,21:50,월드컵 경기장역,6호선,보문,하차,46.5,197.5,527.5,1330.0,738.0,434.0,292.0,307.0,287.5,302.0,305.0,339.5,442.5,682.0,746.5,414.0,353.5,386.0,355.0,136.0
대한민국 vs 카메룬,2022-09-27,20:00,21:50,월드컵 경기장역,6호선,신당,하차,49.5,297.5,680.5,1714.5,927.5,559.5,372.5,309.5,312.0,280.5,276.0,348.0,474.5,840.0,798.5,342.0,259.0,293.0,352.0,87.5
토트넘 vs 팀k리그,2022-07-13,20:00,21:50,월드컵 경기장역,6호선,신당,하차,51.0,298.5,731.0,1670.0,962.5,556.5,348.0,312.5,307.5,307.0,268.0,327.0,357.0,596.5,645.0,322.0,258.0,282.5,377.0,94.5
대한민국 vs 이집트,2022-06-14,20:00,21:50,월드컵 경기장역,6호선,신당,하차,58.5,291.0,695.0,1630.0,1017.0,519.5,383.0,288.0,340.0,274.0,287.5,353.5,470.5,826.5,768.0,315.0,250.0,271.5,349.0,72.0
대한민국 vs 브라질,2022-06-02,20:00,21:50,월드컵 경기장역,6호선,신당,하차,32.5,303.0,636.5,1569.0,899.0,520.0,333.5,292.0,282.5,279.5,256.0,327.5,414.0,641.5,700.0,337.5,284.0,257.5,470.0,
대한민국 vs 이란,2022-03-24,20:00,21:50,월드컵 경기장역,6호선,신당,하차,39.0,247.5,531.5,1555.0,899.0,498.5,377.0,289.0,314.5,291.0,270.5,307.0,357.5,478.0,694.0,420.5,259.0,258.0,409.0,127.0
유벤투스 vs 팀 k리그,2019-07-26,20:00,21:50,월드컵 경기장역,6호선,신당,하차,63.5,270.0,689.5,1954.5,1070.0,617.0,439.5,342.0,349.5,336.0,356.5,357.0,461.5,706.0,1042.0,492.5,329.5,334.5,503.0,134.0
대한민국 vs 콜롬비아,2019-03-26,20:00,21:50,월드컵 경기장역,6호선,신당,하차,66.0,264.0,729.0,2199.0,1152.5,621.5,403.0,375.0,508.0,355.0,394.0,338.0,506.5,729.0,1116.0,501.5,363.5,333.5,511.5,122.5
대한민국 vs 우루과이,2018-10-12,20:00,21:50,월드컵 경기장역,6호선,신당,하차,43.5,179.5,510.5,1612.5,801.0,415.5,294.5,225.0,353.5,233.5,284.5,270.5,363.0,536.5,726.0,323.5,236.0,219.0,263.5,63.5
대한민국 vs 카메룬,2022-09-27,20:00,21:50,월드컵 경기장역,6호선,청구,하차,22.0,103.5,295.0,1003.5,431.5,172.5,134.0,160.0,171.0,117.5,144.0,192.0,225.0,320.5,199.0,114.0,129.0,117.5,77.0,27.5
토트넘 vs 팀k리그,2022-07-13,20:00,21:50,월드컵 경기장역,6호선,청구,하차,21.5,104.0,308.0,1006.5,430.5,179.5,129.0,135.5,161.0,130.0,154.0,179.5,231.5,308.0,197.0,114.0,117.5,121.5,78.5,26.0
대한민국 vs 이집트,2022-06-14,20:00,21:50,월드컵 경기장역,6호선,청구,하차,25.5,107.5,299.0,1013.0,459.0,174.5,119.5,137.5,163.0,150.5,156.5,180.0,210.5,271.5,202.0,105.0,106.0,107.0,73.0,25.0
대한민국 vs 브라질,2022-06-02,20:00,21:50,월드컵 경기장역,6호선,청구,하차,28.0,110.5,287.5,999.5,431.5,174.0,112.0,124.5,125.5,129.0,165.0,175.0,227.0,251.0,187.0,127.0,118.0,132.5,120.0,
대한민국 vs 이란,2022-03-24,20:00,21:50,월드컵 경기장역,6호선,청구,하차,24.0,90.5,247.5,910.5,405.0,170.5,113.5,130.0,130.0,125.0,165.5,163.0,204.5,303.0,196.5,131.0,114.5,125.0,109.5,67.0
유벤투스 vs 팀 k리그,2019-07-26,20:00,21:50,월드컵 경기장역,6호선,청구,하차,16.0,96.5,287.0,1203.0,513.0,213.5,155.5,157.5,199.0,155.5,181.5,218.0,269.5,351.5,272.0,171.5,166.5,146.5,98.5,41.0
대한민국 vs 콜롬비아,2019-03-26,20:00,21:50,월드컵 경기장역,6호선,청구,하차,16.5,103.0,282.0,1221.5,526.0,216.0,150.0,164.5,184.0,170.5,202.5,231.5,276.0,357.0,286.5,171.0,163.0,145.5,113.5,55.0
대한민국 vs 우루과이,2018-10-12,20:00,21:50,월드컵 경기장역,6호선,청구,하차,17.0,90.5,281.5,958.0,451.0,220.0,161.0,181.5,187.0,149.0,173.0,201.5,260.0,327.5,231.5,144.0,95.0,119.0,69.0,40.5
대한민국 vs 카메룬,2022-09-27,20:00,21:50,월드컵 경기장역,6호선,약수,하차,13.0,76.5,262.0,770.0,350.5,181.0,165.5,149.5,189.5,174.0,159.5,177.0,268.5,384.5,221.0,108.0,103.5,95.5,54.5,32.0
토트넘 vs 팀k리그,2022-07-13,20:00,21:50,월드컵 경기장역,6호선,약수,하차,11.5,66.5,276.0,764.5,344.5,165.0,140.5,157.5,177.0,145.0,173.0,175.5,224.0,334.0,222.5,118.0,119.0,117.5,68.5,55.0
대한민국 vs 이집트,2022-06-14,20:00,21:50,월드컵 경기장역,6호선,약수,하차,13.5,74.5,233.0,765.0,340.0,177.5,162.5,151.5,192.0,161.5,176.5,172.0,245.5,366.0,205.0,108.0,109.0,96.0,64.0,39.0
대한민국 vs 브라질,2022-06-02,20:00,21:50,월드컵 경기장역,6호선,약수,하차,7.5,63.5,266.0,706.5,308.0,168.0,145.0,151.0,178.0,134.0,171.5,179.5,263.0,310.0,213.0,104.5,124.5,102.5,105.5,
대한민국 vs 이란,2022-03-24,20:00,21:50,월드컵 경기장역,6호선,약수,하차,5.0,69.5,209.0,698.5,345.5,196.5,152.5,169.5,164.5,162.5,168.5,181.5,221.0,331.0,200.5,147.5,110.0,114.5,67.0,42.0
유벤투스 vs 팀 k리그,2019-07-26,20:00,21:50,월드컵 경기장역,6호선,약수,하차,13.5,73.5,230.5,835.0,412.5,251.0,174.5,195.0,179.0,212.5,216.0,212.0,292.5,415.0,280.0,178.5,147.0,135.5,77.5,37.5
대한민국 vs 콜롬비아,2019-03-26,20:00,21:50,월드컵 경기장역,6호선,약수,하차,12.5,75.0,243.5,829.5,452.5,254.5,180.0,175.5,187.0,212.5,208.0,250.0,294.0,422.5,264.5,164.5,127.5,140.0,92.5,44.0
대한민국 vs 우루과이,2018-10-12,20:00,21:50,월드컵 경기장역,6호선,약수,하차,16.0,153.0,462.5,1086.0,486.0,280.0,198.5,215.0,238.5,222.5,206.0,220.0,294.0,452.0,314.5,205.0,179.5,170.5,106.5,33.0
대한민국 vs 카메룬,2022-09-27,20:00,21:50,월드컵 경기장역,6호선,삼각지,하차,27.5,250.5,684.0,1311.5,509.0,300.5,254.0,245.0,255.5,237.5,240.5,252.0,362.0,588.5,368.0,225.5,222.5,278.0,136.5,55.5
토트넘 vs 팀k리그,2022-07-13,20:00,21:50,월드컵 경기장역,6호선,삼각지,하차,36.5,286.5,742.0,1330.0,611.5,349.5,227.5,242.5,237.5,220.0,218.0,252.5,354.0,581.5,347.0,215.5,221.0,267.5,151.5,78.0
대한민국 vs 이집트,2022-06-14,20:00,21:50,월드컵 경기장역,6호선,삼각지,하차,38.5,322.5,775.5,1228.0,508.5,285.5,242.0,255.5,234.0,222.0,214.0,234.5,362.5,548.0,342.5,214.5,210.5,248.0,142.5,64.5
대한민국 vs 브라질,2022-06-02,20:00,21:50,월드컵 경기장역,6호선,삼각지,하차,35.0,249.0,640.5,1186.5,389.5,288.5,226.0,240.0,210.5,214.5,225.5,244.5,354.0,507.5,309.0,218.0,229.5,360.0,324.5,
대한민국 vs 이란,2022-03-24,20:00,21:50,월드컵 경기장역,6호선,삼각지,하차,29.5,182.0,501.0,1022.0,352.5,219.0,244.0,286.0,242.0,224.5,252.5,219.0,293.5,485.5,335.0,195.5,181.5,226.5,191.5,78.0
유벤투스 vs 팀 k리그,2019-07-26,20:00,21:50,월드컵 경기장역,6호선,삼각지,하차,29.5,220.5,590.5,1226.5,503.5,262.5,249.0,217.5,240.0,210.5,230.0,254.0,365.0,531.0,395.0,233.5,221.0,287.5,185.5,66.5
대한민국 vs 콜롬비아,2019-03-26,20:00,21:50,월드컵 경기장역,6호선,삼각지,하차,25.5,234.5,574.5,1290.5,482.5,292.5,250.5,241.0,261.5,217.5,252.0,255.5,416.0,517.5,381.5,223.0,278.5,266.0,218.0,69.0
대한민국 vs 우루과이,2018-10-12,20:00,21:50,월드컵 경기장역,6호선,삼각지,하차,21.5,181.0,447.5,1262.5,573.5,400.0,306.5,280.0,258.0,269.5,291.0,337.5,436.5,705.0,452.0,265.5,250.5,256.5,185.0,85.5
대한민국 vs 카메룬,2022-09-27,20:00,21:50,월드컵 경기장역,6호선,효창공원앞,하차,26.5,142.5,356.5,1145.5,633.0,374.5,309.0,318.0,296.5,270.0,274.0,371.0,489.0,850.5,557.5,318.5,267.0,274.5,168.0,72.5
토트넘 vs 팀k리그,2022-07-13,20:00,21:50,월드컵 경기장역,6호선,효창공원앞,하차,25.5,146.5,349.5,1054.5,529.0,252.0,282.5,275.0,283.5,263.5,276.5,358.0,490.0,804.5,496.0,322.0,326.5,274.5,176.5,78.5
대한민국 vs 이집트,2022-06-14,20:00,21:50,월드컵 경기장역,6호선,효창공원앞,하차,23.5,146.5,330.5,1044.0,609.5,333.0,294.5,302.0,295.5,317.5,298.0,395.0,439.0,806.5,528.5,294.5,317.5,247.5,173.5,55.5
대한민국 vs 브라질,2022-06-02,20:00,21:50,월드컵 경기장역,6호선,효창공원앞,하차,27.0,119.0,284.5,1036.5,582.0,330.0,293.5,275.0,289.5,299.0,263.5,382.5,446.0,727.5,481.0,301.5,260.5,286.0,255.0,
대한민국 vs 이란,2022-03-24,20:00,21:50,월드컵 경기장역,6호선,효창공원앞,하차,19.5,113.0,232.0,836.0,484.5,263.0,224.5,253.5,267.5,223.5,302.0,330.0,386.5,666.0,487.0,308.0,219.0,257.0,191.5,96.0
유벤투스 vs 팀 k리그,2019-07-26,20:00,21:50,월드컵 경기장역,6호선,효창공원앞,하차,22.0,181.0,324.0,1218.5,801.5,408.0,347.0,285.0,365.0,290.5,312.5,372.0,487.5,751.0,632.0,383.5,324.0,339.5,213.5,118.5
대한민국 vs 콜롬비아,2019-03-26,20:00,21:50,월드컵 경기장역,6호선,효창공원앞,하차,18.0,188.5,339.5,1232.5,708.5,409.0,369.0,303.5,402.0,313.5,406.5,413.0,498.0,790.0,624.5,355.0,325.0,346.5,215.5,118.0
대한민국 vs 우루과이,2018-10-12,20:00,21:50,월드컵 경기장역,6호선,효창공원앞,하차,48.0,336.0,1065.0,3019.0,1459.0,634.0,499.5,471.5,508.5,489.0,510.5,519.5,737.5,1214.0,819.5,453.0,381.0,351.0,231.0,124.5
대한민국 vs 카메룬,2022-09-27,20:00,21:50,월드컵 경기장역,6호선,공덕,하차,68.5,411.0,1834.5,4662.5,2097.0,850.0,698.0,650.5,701.5,632.5,674.5,751.5,1032.0,1710.0,1056.0,502.0,499.5,443.5,316.0,140.5
토트넘 vs 팀k리그,2022-07-13,20:00,21:50,월드컵 경기장역,6호선,공덕,하차,73.0,438.0,1872.0,4714.5,2186.5,838.0,658.5,655.5,678.5,639.5,652.0,747.5,1069.0,1628.0,1007.0,552.0,582.0,457.5,350.0,119.0
대한민국 vs 이집트,2022-06-14,20:00,21:50,월드컵 경기장역,6호선,공덕,하차,81.5,432.5,1896.5,4693.5,2122.0,828.0,690.5,663.0,676.0,644.5,631.5,730.5,1034.0,1618.5,983.0,553.5,498.5,413.5,327.0,98.0
대한민국 vs 브라질,2022-06-02,20:00,21:50,월드컵 경기장역,6호선,공덕,하차,81.0,381.5,1663.0,4328.5,1896.0,792.0,624.5,632.0,642.0,618.0,608.0,719.0,948.5,1522.5,936.5,506.5,464.0,449.0,550.5,
대한민국 vs 이란,2022-03-24,20:00,21:50,월드컵 경기장역,6호선,공덕,하차,70.0,349.5,1352.0,4063.0,1689.0,776.5,668.0,602.0,625.0,639.5,641.0,656.5,941.0,1578.5,993.0,562.5,452.0,502.0,410.0,282.0
유벤투스 vs 팀 k리그,2019-07-26,20:00,21:50,월드컵 경기장역,6호선,공덕,하차,79.0,389.5,1648.0,5069.0,2158.5,1005.5,742.0,721.5,813.5,838.5,778.5,846.5,1117.5,1937.0,1345.0,731.5,654.5,639.0,429.5,237.0
대한민국 vs 콜롬비아,2019-03-26,20:00,21:50,월드컵 경기장역,6호선,공덕,하차,89.0,373.5,1609.5,5054.0,2235.0,1007.0,971.0,798.5,858.5,808.0,833.0,905.0,1190.0,1908.0,1490.0,794.5,673.0,682.0,458.5,261.5
대한민국 vs 우루과이,2018-10-12,20:00,21:50,월드컵 경기장역,6호선,공덕,하차,68.5,325.0,1195.0,3505.5,1796.0,781.5,624.0,676.5,647.5,620.0,670.0,775.5,1038.5,1666.0,1236.5,641.0,528.5,498.0,332.5,210.0
대한민국 vs 카메룬,2022-09-27,20:00,21:50,월드컵 경기장역,6호선,합정,하차,40.5,296.5,758.5,1965.0,1241.5,604.5,615.0,577.0,619.0,561.0,568.0,732.5,969.5,1611.5,1030.5,484.0,433.5,361.0,248.5,88.5
토트넘 vs 팀k리그,2022-07-13,20:00,21:50,월드컵 경기장역,6호선,합정,하차,53.5,296.5,756.5,1992.0,1219.0,578.5,611.5,537.0,632.5,565.5,589.0,735.5,1016.0,1629.0,977.0,494.5,486.0,426.0,261.0,100.0
대한민국 vs 이집트,2022-06-14,20:00,21:50,월드컵 경기장역,6호선,합정,하차,42.5,293.5,709.5,1987.5,1247.5,560.0,538.0,507.0,611.0,481.0,532.0,739.5,925.5,1515.0,931.0,453.0,378.0,382.5,295.0,80.5
대한민국 vs 브라질,2022-06-02,20:00,21:50,월드컵 경기장역,6호선,합정,하차,42.5,250.5,681.0,1874.5,1122.5,531.0,512.0,489.5,576.0,509.0,553.5,704.0,949.5,1550.0,903.5,460.0,376.5,416.0,547.0,
대한민국 vs 이란,2022-03-24,20:00,21:50,월드컵 경기장역,6호선,합정,하차,48.5,244.0,613.0,1713.0,975.0,563.5,554.0,547.0,585.5,596.0,603.5,696.5,922.5,1615.0,1083.0,515.5,394.0,523.5,362.5,203.0
유벤투스 vs 팀 k리그,2019-07-26,20:00,21:50,월드컵 경기장역,6호선,합정,하차,56.0,336.5,784.5,2105.0,1084.5,654.0,621.5,645.0,686.0,673.5,645.0,766.5,1102.5,1767.0,1486.0,706.5,493.5,549.5,376.0,182.5
대한민국 vs 콜롬비아,2019-03-26,20:00,21:50,월드컵 경기장역,6호선,합정,하차,54.0,327.0,751.0,2081.0,1138.5,619.5,556.0,633.5,668.0,610.0,666.0,834.5,1205.0,1887.0,1431.5,720.5,557.5,592.5,389.0,213.5
대한민국 vs 우루과이,2018-10-12,20:00,21:50,월드컵 경기장역,6호선,합정,하차,92.5,391.5,1029.5,2849.0,1241.0,572.0,475.5,515.0,535.0,563.5,615.5,846.0,1062.5,2062.5,1503.5,808.5,602.5,586.5,368.0,190.5
대한민국 vs 카메룬,2022-09-27,20:00,21:50,월드컵 경기장역,6호선,디지털미디어시티,하차,106.5,493.5,1376.0,3659.5,1339.0,506.0,423.5,442.5,461.5,479.0,539.5,807.5,1088.0,1972.0,1511.5,791.0,772.0,716.0,401.0,144.0
토트넘 vs 팀k리그,2022-07-13,20:00,21:50,월드컵 경기장역,6호선,디지털미디어시티,하차,113.0,479.0,1355.0,3813.0,1269.0,487.5,424.5,421.5,440.0,443.0,535.5,761.0,1059.0,1953.5,1436.5,786.0,803.5,726.0,423.0,143.5
대한민국 vs 이집트,2022-06-14,20:00,21:50,월드컵 경기장역,6호선,디지털미디어시티,하차,107.0,459.0,1349.0,3660.0,1237.0,444.0,390.5,428.5,451.0,438.0,521.5,783.5,1129.0,1963.5,1438.0,788.5,736.0,656.0,402.5,135.5
대한민국 vs 브라질,2022-06-02,20:00,21:50,월드컵 경기장역,6호선,디지털미디어시티,하차,96.0,439.5,1200.0,3250.0,1139.0,437.0,391.0,407.5,428.0,400.0,485.5,726.5,957.5,1776.5,1293.5,745.0,684.5,627.5,562.0,
대한민국 vs 이란,2022-03-24,20:00,21:50,월드컵 경기장역,6호선,디지털미디어시티,하차,102.0,396.0,1106.5,3043.5,1123.5,407.0,368.5,376.5,412.5,414.0,480.5,577.5,851.0,1551.5,1178.5,655.5,589.5,561.5,422.5,256.0
유벤투스 vs 팀 k리그,2019-07-26,20:00,21:50,월드컵 경기장역,6호선,디지털미디어시티,하차,100.5,416.5,1428.5,3619.0,1464.5,545.0,442.0,462.0,523.0,511.5,557.5,723.0,962.0,1644.5,1400.5,796.0,755.0,714.5,447.0,247.0
대한민국 vs 콜롬비아,2019-03-26,20:00,21:50,월드컵 경기장역,6호선,디지털미디어시티,하차,93.5,421.5,1371.0,3735.5,1458.5,619.0,427.5,484.5,544.5,557.5,626.5,806.0,1017.5,1714.0,1463.0,846.5,782.5,714.5,519.5,220.5
대한민국 vs 우루과이,2018-10-12,20:00,21:50,월드컵 경기장역,6호선,디지털미디어시티,하차,64.0,272.5,754.0,1934.5,877.5,375.0,334.0,341.0,380.5,364.5,413.5,509.5,631.5,1187.0,974.0,540.5,475.0,414.5,298.5,172.0
대한민국 vs 카메룬,2022-09-27,20:00,21:50,월드컵 경기장역,6호선,불광,하차,18.5,106.0,191.5,335.0,258.0,178.0,221.5,195.5,255.0,208.5,253.5,303.0,389.0,625.5,444.5,231.5,191.5,198.5,127.0,71.5
토트넘 vs 팀k리그,2022-07-13,20:00,21:50,월드컵 경기장역,6호선,불광,하차,17.0,106.0,183.0,300.0,277.0,188.5,199.5,208.0,251.5,216.0,249.0,292.5,384.5,618.5,486.0,224.5,231.0,228.0,153.5,96.5
대한민국 vs 이집트,2022-06-14,20:00,21:50,월드컵 경기장역,6호선,불광,하차,16.5,102.0,164.5,322.5,300.0,173.0,192.0,190.0,235.5,218.0,246.5,255.0,334.5,608.5,454.5,229.0,191.5,182.0,136.5,79.5
대한민국 vs 브라질,2022-06-02,20:00,21:50,월드컵 경기장역,6호선,불광,하차,19.5,94.5,143.0,266.0,238.0,168.5,186.5,176.0,207.5,206.5,213.5,251.0,334.5,570.5,420.5,210.0,208.0,147.0,179.5,
대한민국 vs 이란,2022-03-24,20:00,21:50,월드컵 경기장역,6호선,불광,하차,14.0,73.5,147.5,287.5,251.5,227.0,193.0,209.0,252.0,240.5,257.5,308.5,366.5,589.0,456.0,239.0,178.5,233.5,154.5,110.0
유벤투스 vs 팀 k리그,2019-07-26,20:00,21:50,월드컵 경기장역,6호선,불광,하차,18.0,65.0,141.0,350.5,274.0,241.0,250.0,295.0,298.0,271.5,268.0,367.0,433.0,694.0,635.5,348.0,264.0,267.5,198.0,75.0
대한민국 vs 콜롬비아,2019-03-26,20:00,21:50,월드컵 경기장역,6호선,불광,하차,13.0,74.0,173.5,322.5,345.0,248.0,263.5,277.5,339.0,315.5,307.5,380.5,447.0,755.5,645.0,343.5,266.5,287.5,192.5,77.0
대한민국 vs 우루과이,2018-10-12,20:00,21:50,월드컵 경기장역,6호선,불광,하차,8.5,40.5,103.5,165.0,147.5,116.5,108.0,150.0,137.5,150.0,141.0,162.0,207.0,327.5,369.0,177.0,127.5,130.5,100.0,100.0
