행사명,행사 일주일 후 날짜,시작 시간,끝나는 시간,가까운 지하철역,호선,환승역,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
대한민국 vs 이란,2022-03-31,20:00,21:50,월드컵 경기장역,6호선,석계,하차,51,154,316,595,405,362,365,421,426,529,549,872,1140,1914,1528,788,699,658,564,
유벤투스 vs 팀 k리그,2019-08-02,20:00,21:50,월드컵 경기장역,6호선,석계,하차,88,203,236,455,371,404,327,456,453,448,648,800,1168,1689,1949,968,945,869,729,283.0
대한민국 vs 콜롬비아,2019-04-02,20:00,21:50,월드컵 경기장역,6호선,석계,하차,105,219,415,786,540,500,494,582,536,562,723,973,1333,2033,2294,1299,1111,1081,645,240.0
대한민국 vs 우루과이,2018-10-19,20:00,21:50,월드컵 경기장역,6호선,석계,하차,87,235,368,662,473,429,443,533,542,623,783,1002,1369,2009,2163,1211,1042,1010,780,392.0
대한민국 vs 카메룬,2022-10-04,20:00,21:50,월드컵 경기장역,6호선,보문,하차,29,149,429,932,473,275,267,253,295,278,331,361,588,1034,705,437,367,417,225,95.0
토트넘 vs 팀k리그,2022-07-20,20:00,21:50,월드컵 경기장역,6호선,보문,하차,32,126,331,825,408,221,234,210,305,247,297,329,516,971,728,428,374,454,239,111.0
대한민국 vs 이집트,2022-06-21,20:00,21:50,월드컵 경기장역,6호선,보문,하차,32,163,446,822,372,234,224,225,245,209,298,367,522,1000,643,419,407,407,300,104.0
대한민국 vs 브라질,2022-06-09,20:00,21:50,월드컵 경기장역,6호선,보문,하차,33,135,425,801,368,238,224,222,307,227,292,325,492,933,682,433,387,418,276,89.0
대한민국 vs 이란,2022-03-31,20:00,21:50,월드컵 경기장역,6호선,보문,하차,19,120,353,762,337,190,174,231,249,192,239,336,457,775,620,354,342,379,320,
유벤투스 vs 팀 k리그,2019-08-02,20:00,21:50,월드컵 경기장역,6호선,보문,하차,27,111,233,690,380,212,199,276,225,257,279,341,435,759,715,362,342,435,372,185.0
대한민국 vs 콜롬비아,2019-04-02,20:00,21:50,월드컵 경기장역,6호선,보문,하차,29,128,393,944,518,321,236,229,268,281,312,391,486,907,800,530,510,539,322,138.0
대한민국 vs 우루과이,2018-10-19,20:00,21:50,월드컵 경기장역,6호선,보문,하차,34,127,374,964,467,276,270,274,272,311,382,371,519,841,814,449,382,490,376,196.0
대한민국 vs 카메룬,2022-10-04,20:00,21:50,월드컵 경기장역,6호선,신당,하차,53,264,685,1739,993,534,344,301,276,295,259,302,374,506,651,322,262,302,357,104.0
토트넘 vs 팀k리그,2022-07-20,20:00,21:50,월드컵 경기장역,6호선,신당,하차,53,287,611,1756,887,546,373,333,313,288,279,338,454,807,777,310,254,289,355,89.0
대한민국 vs 이집트,2022-06-21,20:00,21:50,월드컵 경기장역,6호선,신당,하차,51,258,754,1752,950,559,334,294,318,260,266,345,358,563,635,317,241,276,369,95.0
대한민국 vs 브라질,2022-06-09,20:00,21:50,월드컵 경기장역,6호선,신당,하차,61,286,676,1632,1064,511,393,312,358,267,282,354,484,870,773,317,248,279,348,75.0
대한민국 vs 이란,2022-03-31,20:00,21:50,월드컵 경기장역,6호선,신당,하차,24,264,633,1561,867,506,340,277,290,245,237,284,323,489,602,326,251,204,427,
유벤투스 vs 팀 k리그,2019-08-02,20:00,21:50,월드컵 경기장역,6호선,신당,하차,51,234,455,1552,982,526,409,370,389,361,302,326,413,515,800,535,316,294,420,127.0
대한민국 vs 콜롬비아,2019-04-02,20:00,21:50,월드컵 경기장역,6호선,신당,하차,60,293,822,2200,1086,648,426,326,341,328,358,377,465,728,1014,507,360,324,548,119.0
대한민국 vs 우루과이,2018-10-19,20:00,21:50,월드컵 경기장역,6호선,신당,하차,66,268,648,2258,1082,634,400,359,581,372,454,343,501,719,1152,494,333,360,487,141.0
대한민국 vs 카메룬,2022-10-04,20:00,21:50,월드컵 경기장역,6호선,청구,하차,23,105,300,993,480,173,152,106,182,160,193,152,237,337,240,131,128,109,57,14.0
토트넘 vs 팀k리그,2022-07-20,20:00,21:50,월드컵 경기장역,6호선,청구,하차,23,106,302,956,408,190,139,158,163,104,135,195,203,310,199,103,128,122,86,20.0
대한민국 vs 이집트,2022-06-21,20:00,21:50,월드컵 경기장역,6호선,청구,하차,24,99,299,1017,453,180,127,142,182,117,165,187,235,284,223,94,128,117,73,25.0
대한민국 vs 브라질,2022-06-09,20:00,21:50,월드컵 경기장역,6호선,청구,하차,25,109,309,1008,483,157,100,142,157,156,152,193,218,258,210,109,107,116,76,23.0
대한민국 vs 이란,2022-03-31,20:00,21:50,월드컵 경기장역,6호선,청구,하차,28,102,263,1005,390,185,93,126,123,108,156,157,232,240,182,119,105,115,119,
유벤투스 vs 팀 k리그,2019-08-02,20:00,21:50,월드컵 경기장역,6호선,청구,하차,26,93,210,925,398,164,134,141,133,128,182,178,212,344,224,164,134,143,112,67.0
대한민국 vs 콜롬비아,2019-04-02,20:00,21:50,월드컵 경기장역,6호선,청구,하차,16,92,286,1235,515,204,149,147,212,166,176,223,295,343,253,195,167,148,99,32.0
대한민국 vs 우루과이,2018-10-19,20:00,21:50,월드컵 경기장역,6호선,청구,하차,15,117,291,1158,537,208,143,171,203,178,215,250,256,344,282,165,159,122,117,63.0
대한민국 vs 카메룬,2022-10-04,20:00,21:50,월드컵 경기장역,6호선,약수,하차,11,74,279,744,362,199,164,182,180,154,153,177,252,331,231,116,79,84,36,18.0
토트넘 vs 팀k리그,2022-07-20,20:00,21:50,월드컵 경기장역,6호선,약수,하차,13,71,236,774,333,192,168,133,204,178,161,184,287,368,233,106,109,103,53,40.0
대한민국 vs 이집트,2022-06-21,20:00,21:50,월드컵 경기장역,6호선,약수,하차,12,69,281,772,338,169,131,161,164,153,190,175,231,298,237,127,126,112,58,45.0
대한민국 vs 브라질,2022-06-09,20:00,21:50,월드컵 경기장역,6호선,약수,하차,15,67,221,769,314,195,156,143,191,153,171,192,257,369,195,113,112,102,66,56.0
대한민국 vs 이란,2022-03-31,20:00,21:50,월드컵 경기장역,6호선,약수,하차,7,50,240,679,301,147,119,146,167,126,163,158,232,289,203,82,92,85,91,
유벤투스 vs 팀 k리그,2019-08-02,20:00,21:50,월드컵 경기장역,6호선,약수,하차,6,72,178,752,386,247,190,200,169,185,183,201,247,376,232,184,126,146,73,42.0
대한민국 vs 콜롬비아,2019-04-02,20:00,21:50,월드컵 경기장역,6호선,약수,하차,15,71,248,838,401,227,194,202,202,212,237,218,299,425,254,182,145,130,81,27.0
대한민국 vs 우루과이,2018-10-19,20:00,21:50,월드컵 경기장역,6호선,약수,하차,7,72,237,830,439,255,143,172,187,208,221,261,293,422,275,169,125,142,94,53.0
대한민국 vs 카메룬,2022-10-04,20:00,21:50,월드컵 경기장역,6호선,삼각지,하차,24,231,690,1367,544,330,211,276,280,226,212,232,364,553,365,251,209,185,115,35.0
토트넘 vs 팀k리그,2022-07-20,20:00,21:50,월드컵 경기장역,6호선,삼각지,하차,31,255,685,1243,493,309,259,241,272,262,257,249,328,572,342,237,236,268,130,70.0
대한민국 vs 이집트,2022-06-21,20:00,21:50,월드컵 경기장역,6호선,삼각지,하차,37,295,764,1278,492,404,243,256,246,242,249,262,359,573,351,211,225,248,145,77.0
대한민국 vs 브라질,2022-06-09,20:00,21:50,월드컵 경기장역,6호선,삼각지,하차,34,315,773,1242,532,297,245,264,254,241,222,225,367,563,360,215,227,278,155,77.0
대한민국 vs 이란,2022-03-31,20:00,21:50,월드컵 경기장역,6호선,삼각지,하차,29,157,508,1073,352,190,170,210,176,176,193,232,306,458,293,192,183,202,220,
유벤투스 vs 팀 k리그,2019-08-02,20:00,21:50,월드컵 경기장역,6호선,삼각지,하차,34,207,487,1060,368,280,344,355,293,298,312,245,320,518,346,221,211,301,233,78.0
대한민국 vs 콜롬비아,2019-04-02,20:00,21:50,월드컵 경기장역,6호선,삼각지,하차,31,214,615,1320,588,272,242,193,222,214,218,244,359,510,393,258,231,302,176,59.0
대한민국 vs 우루과이,2018-10-19,20:00,21:50,월드컵 경기장역,6호선,삼각지,하차,29,230,556,1290,479,290,258,245,263,245,280,283,452,504,415,185,246,265,239,77.0
대한민국 vs 카메룬,2022-10-04,20:00,21:50,월드컵 경기장역,6호선,효창공원앞,하차,22,131,353,1211,660,451,338,301,288,305,309,388,508,893,505,310,289,269,155,77.0
토트넘 vs 팀k리그,2022-07-20,20:00,21:50,월드컵 경기장역,6호선,효창공원앞,하차,26,144,331,1020,483,238,239,258,238,231,263,346,429,829,512,295,283,270,170,72.0
대한민국 vs 이집트,2022-06-21,20:00,21:50,월드컵 경기장역,6호선,효창공원앞,하차,29,139,372,1032,558,276,299,273,285,258,262,384,505,801,509,323,301,268,177,86.0
대한민국 vs 브라질,2022-06-09,20:00,21:50,월드컵 경기장역,6호선,효창공원앞,하차,25,148,299,1051,639,338,271,291,288,315,269,423,469,773,534,310,352,266,188,62.0
대한민국 vs 이란,2022-03-31,20:00,21:50,월드컵 경기장역,6호선,효창공원앞,하차,21,116,240,961,592,293,260,277,281,283,234,366,396,680,440,274,233,250,234,
유벤투스 vs 팀 k리그,2019-08-02,20:00,21:50,월드컵 경기장역,6호선,효창공원앞,하차,18,131,210,750,453,232,220,222,260,200,326,327,369,656,468,342,250,306,198,96.0
대한민국 vs 콜롬비아,2019-04-02,20:00,21:50,월드컵 경기장역,6호선,효창공원앞,하차,24,210,359,1303,984,532,411,303,430,316,335,390,526,756,686,381,343,346,184,98.0
대한민국 vs 우루과이,2018-10-19,20:00,21:50,월드컵 경기장역,6호선,효창공원앞,하차,18,195,353,1113,602,303,312,298,399,327,424,444,507,761,637,350,279,324,230,136.0
대한민국 vs 카메룬,2022-10-04,20:00,21:50,월드컵 경기장역,6호선,공덕,하차,70,482,1793,4782,2307,953,702,706,696,638,681,711,1013,1667,1029,573,446,396,236,107.0
토트넘 vs 팀k리그,2022-07-20,20:00,21:50,월드컵 경기장역,6호선,공덕,하차,55,414,1811,4558,2056,820,708,664,681,643,644,722,1018,1689,1020,480,522,449,310,130.0
대한민국 vs 이집트,2022-06-21,20:00,21:50,월드컵 경기장역,6호선,공덕,하차,81,429,1866,4766,2235,857,677,648,705,654,670,755,1096,1602,1021,574,595,449,354,96.0
대한민국 vs 브라질,2022-06-09,20:00,21:50,월드컵 경기장역,6호선,공덕,하차,87,427,1893,4669,2080,808,716,682,673,634,622,740,1001,1659,1011,548,491,465,358,112.0
대한민국 vs 이란,2022-03-31,20:00,21:50,월드컵 경기장역,6호선,공덕,하차,77,355,1502,3971,1721,712,577,540,592,584,527,675,834,1349,860,462,378,345,452,
유벤투스 vs 팀 k리그,2019-08-02,20:00,21:50,월드컵 경기장역,6호선,공덕,하차,79,368,1254,4335,1720,864,772,672,699,742,708,783,1105,1777,1267,709,561,684,443,282.0
대한민국 vs 콜롬비아,2019-04-02,20:00,21:50,월드컵 경기장역,6호선,공덕,하차,78,377,1702,5179,2198,985,712,665,831,806,782,826,1018,1808,1295,729,697,658,367,172.0
대한민국 vs 우루과이,2018-10-19,20:00,21:50,월드컵 경기장역,6호선,공덕,하차,95,364,1561,4990,2241,958,1083,856,933,825,909,1001,1249,1936,1558,878,706,657,541,346.0
대한민국 vs 카메룬,2022-10-04,20:00,21:50,월드컵 경기장역,6호선,합정,하차,53,281,788,2011,1259,600,492,510,547,484,562,700,952,1456,989,517,388,350,202,91.0
토트넘 vs 팀k리그,2022-07-20,20:00,21:50,월드컵 경기장역,6호선,합정,하차,38,290,737,1892,1192,645,650,617,628,540,534,709,912,1573,1017,476,431,368,243,89.0
대한민국 vs 이집트,2022-06-21,20:00,21:50,월드컵 경기장역,6호선,합정,하차,55,296,736,1975,1205,564,595,499,635,540,602,735,992,1636,976,470,432,382,278,101.0
대한민국 vs 브라질,2022-06-09,20:00,21:50,월드컵 경기장역,6호선,합정,하차,41,266,696,1987,1274,558,543,485,619,498,535,778,947,1533,984,444,402,426,328,100.0
대한민국 vs 이란,2022-03-31,20:00,21:50,월드컵 경기장역,6호선,합정,하차,42,219,619,1737,1008,477,489,471,556,445,556,660,895,1429,841,378,360,359,399,
유벤투스 vs 팀 k리그,2019-08-02,20:00,21:50,월드컵 경기장역,6호선,합정,하차,58,272,627,1793,1003,674,668,653,681,742,668,789,1049,2038,1380,684,465,735,446,203.0
대한민국 vs 콜롬비아,2019-04-02,20:00,21:50,월드컵 경기장역,6호선,합정,하차,49,341,866,2139,1131,653,538,560,629,582,584,729,1006,1499,1312,666,496,538,334,131.0
대한민국 vs 우루과이,2018-10-19,20:00,21:50,월드컵 경기장역,6호선,합정,하차,58,310,733,2008,1132,615,547,693,708,677,786,911,1306,2159,1595,798,592,620,443,273.0
대한민국 vs 카메룬,2022-10-04,20:00,21:50,월드컵 경기장역,6호선,디지털미디어시티,하차,127,485,1335,3634,1358,487,396,467,443,434,522,858,1119,2157,1524,870,707,661,333,125.0
토트넘 vs 팀k리그,2022-07-20,20:00,21:50,월드컵 경기장역,6호선,디지털미디어시티,하차,104,477,1310,3657,1323,512,451,449,442,482,530,714,1025,1936,1379,719,841,712,405,137.0
대한민국 vs 이집트,2022-06-21,20:00,21:50,월드컵 경기장역,6호선,디지털미디어시티,하차,108,482,1333,3763,1224,509,393,411,406,442,492,796,1033,1973,1501,753,797,711,419,157.0
대한민국 vs 브라질,2022-06-09,20:00,21:50,월드컵 경기장역,6호선,디지털미디어시티,하차,101,454,1327,3717,1277,476,354,434,444,437,540,812,1136,1919,1402,773,732,727,429,151.0
대한민국 vs 이란,2022-03-31,20:00,21:50,월드컵 경기장역,6호선,디지털미디어시티,하차,85,413,1073,2943,1018,391,358,362,409,361,448,669,885,1591,1215,657,606,538,462,
유벤투스 vs 팀 k리그,2019-08-02,20:00,21:50,월드컵 경기장역,6호선,디지털미디어시티,하차,105,383,1220,3261,1327,446,416,411,464,454,540,540,856,1540,1166,699,646,678,468,256.0
대한민국 vs 콜롬비아,2019-04-02,20:00,21:50,월드컵 경기장역,6호선,디지털미디어시티,하차,93,415,1447,3750,1471,557,437,477,494,512,556,751,955,1677,1447,837,831,758,410,184.0
대한민국 vs 우루과이,2018-10-19,20:00,21:50,월드컵 경기장역,6호선,디지털미디어시티,하차,96,420,1388,3524,1403,630,393,499,578,573,678,818,1014,1704,1487,888,761,666,573,271.0
대한민국 vs 카메룬,2022-10-04,20:00,21:50,월드컵 경기장역,6호선,불광,하차,19,110,152,293,264,164,206,197,224,192,252,264,342,638,464,222,204,187,90,47.0
토트넘 vs 팀k리그,2022-07-20,20:00,21:50,월드컵 경기장역,6호선,불광,하차,17,105,184,338,269,195,245,186,264,216,262,301,394,606,407,254,210,194,138,89.0
대한민국 vs 이집트,2022-06-21,20:00,21:50,월드컵 경기장역,6호선,불광,하차,17,103,177,277,276,162,188,191,247,205,240,260,373,627,445,221,221,232,158,91.0
대한민국 vs 브라질,2022-06-09,20:00,21:50,월드컵 경기장역,6호선,불광,하차,17,98,165,306,282,148,163,183,256,221,241,256,317,641,450,237,193,191,153,103.0
대한민국 vs 이란,2022-03-31,20:00,21:50,월드컵 경기장역,6호선,불광,하차,21,79,147,241,220,159,155,161,158,208,207,211,300,565,384,185,197,122,167,
유벤투스 vs 팀 k리그,2019-08-02,20:00,21:50,월드컵 경기장역,6호선,불광,하차,13,66,140,342,269,306,261,284,308,309,279,410,431,644,555,285,202,303,175,110.0
대한민국 vs 콜롬비아,2019-04-02,20:00,21:50,월드컵 경기장역,6호선,불광,하차,16,65,168,316,297,242,223,270,272,259,252,359,452,692,643,378,294,298,174,71.0
대한민국 vs 우루과이,2018-10-19,20:00,21:50,월드컵 경기장역,6호선,불광,하차,14,78,180,346,349,250,275,291,340,298,316,375,453,772,650,323,261,269,213,92.0
대한민국 vs 이란,2022-03-31,20:00,21:50,월드컵 경기장역,6호선,연신내,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
