행사명,행사 일주일 후 날짜,시작 시간,끝나는 시간,가까운 지하철역,호선,환승역,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
대한민국 vs 카메룬,2022-10-04,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,37,113,185,456,364,230,354,233,232,249,240,443,537,1032,932,343,391,312,241,123.0
토트넘 vs 팀k리그,2022-07-20,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,39,83,137,337,230,143,218,216,206,263,281,365,484,1009,750,376,397,313,244,113.0
대한민국 vs 이집트,2022-06-21,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,27,118,181,398,284,216,277,268,264,278,261,390,497,1073,784,397,417,343,285,122.0
대한민국 vs 브라질,2022-06-09,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,20,94,184,383,261,190,268,232,249,259,279,380,534,949,869,412,460,374,302,122.0
대한민국 vs 이란,2022-03-31,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,27,102,148,342,222,160,241,196,258,217,228,361,461,941,723,323,350,319,352,
유벤투스 vs 팀 k리그,2019-08-02,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,38,119,144,287,245,190,181,214,286,257,286,303,482,843,783,406,408,439,355,233.0
대한민국 vs 콜롬비아,2019-04-02,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,31,145,232,662,435,333,460,277,266,307,309,377,590,864,992,521,505,467,362,174.0
대한민국 vs 우루과이,2018-10-19,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,35,132,210,438,347,231,308,305,253,308,298,413,534,921,967,480,482,434,398,231.0
대한민국 vs 카메룬,2022-10-04,20:00,21:50,월드컵 경기장역,6호선,석계,하차,76,201,336,712,566,430,566,550,562,598,684,971,1205,2177,1884,926,817,703,450,131.0
토트넘 vs 팀k리그,2022-07-20,20:00,21:50,월드컵 경기장역,6호선,석계,하차,66,184,297,511,387,342,387,430,438,466,653,897,1176,2207,1712,935,838,797,439,150.0
대한민국 vs 이집트,2022-06-21,20:00,21:50,월드컵 경기장역,6호선,석계,하차,69,210,359,532,377,326,353,454,462,536,637,929,1282,2112,1889,885,798,833,561,156.0
대한민국 vs 브라질,2022-06-09,20:00,21:50,월드컵 경기장역,6호선,석계,하차,72,200,364,615,435,373,393,499,484,524,627,906,1180,1974,1806,868,862,773,532,137.0
