행사명,날짜,시작 시간,끝나는 시간,가까운 지하철역,호선,환승역,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,김포공항,하차,58.0,338.5,328.0,389.0,495.5,572.5,700.5,684.0,723.0,665.0,717.5,707.5,617.5,530.0,314.5,171.5,76.0,53.0,73.5,21.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,까치산,하차,61.5,283.5,275.5,492.0,544.0,573.5,754.0,1007.5,1090.0,1184.5,1397.5,1731.5,2002.0,2128.5,1724.5,1675.5,1709.0,1391.0,1136.0,163.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,영등포구청,하차,41.0,91.0,75.5,123.0,150.5,123.0,160.5,141.0,147.0,177.0,164.0,174.5,200.0,158.5,118.0,109.5,129.5,92.5,72.5,4.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,신길,하차,15.0,64.0,63.0,134.0,129.0,101.5,116.0,159.0,151.5,178.5,251.0,249.5,272.0,237.5,210.5,245.0,254.5,239.0,203.5,2.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,여의도,하차,100.5,667.5,520.0,773.0,881.0,893.0,1193.5,1228.5,1257.5,1192.5,1191.0,1191.0,1106.0,754.0,452.0,274.0,234.5,195.5,132.5,86.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,공덕,하차,32.5,163.0,229.5,386.0,504.5,546.5,553.5,594.5,539.5,552.5,570.5,663.5,824.0,636.5,515.0,378.5,393.0,343.0,247.5,4.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,종로3가,하차,18.0,132.0,170.0,350.5,691.0,1008.5,1462.0,1548.0,1512.0,1601.0,1473.5,1491.5,1438.0,1218.5,813.5,554.5,427.0,289.0,174.0,15.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,을지로4가,하차,26.0,154.0,188.0,372.5,291.5,325.0,416.0,457.5,477.5,376.0,362.5,326.0,364.0,236.5,148.5,107.0,92.0,68.5,46.0,3.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,동대문역사문화공원(DDP),하차,8.0,45.5,65.0,138.0,77.5,99.0,125.0,124.0,105.0,155.5,156.5,170.5,146.5,111.0,81.0,63.0,87.0,63.5,57.5,5.5
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,청구,하차,7.0,52.5,68.5,154.5,123.5,107.0,128.5,148.0,139.5,160.0,181.5,215.0,213.0,227.5,176.0,150.0,161.0,124.0,98.0,9.5
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,군자(능동),하차,21.0,204.5,194.5,326.5,363.0,353.0,420.5,564.5,641.0,604.0,665.0,832.0,964.0,912.5,707.0,614.0,710.5,573.0,496.0,202.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,천호(풍납토성),하차,74.5,464.5,358.0,634.5,1035.5,1127.0,1189.0,1281.5,1388.0,1323.5,1315.5,1423.0,1564.0,1264.0,1016.0,676.5,735.0,610.0,465.5,48.5
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,강동,하차,40.5,344.0,379.5,643.5,584.5,692.0,822.5,879.0,1047.0,953.5,922.0,1035.0,1055.5,972.5,798.5,680.0,809.5,712.5,589.0,137.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,올림픽공원(한국체대),하차,27.5,100.5,103.5,160.0,303.5,328.0,435.0,445.5,467.0,695.0,750.0,901.5,814.0,262.0,185.0,182.5,130.5,130.0,93.0,0.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,개롱,하차,28.5,106.0,157.0,262.0,279.5,194.0,231.5,210.5,292.5,311.5,307.0,415.0,409.0,419.0,379.5,291.0,341.5,308.0,161.0,27.0
