행사명,날짜,시작 시간,끝나는 시간,호선,역명,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
싸이 흠뻑쇼,2022-07-17,18:42,22:40,2호선,강남,하차,121,526,664,1204,2319,1899,2158,2882,3243,2606,2584,2887,3010,2660,1778,1632,1271,1072,1024,0.0
워터밤 2022,2022-06-24,12:00,22:00,2호선,강남,하차,454,1940,6523,13309,12874,5998,3871,3800,4125,3967,3883,4186,6413,9375,5723,2557,1978,2245,1632,786.0
워터밤 2022,2022-06-25,12:00,22:00,2호선,강남,하차,261,951,1281,3393,6068,4558,4441,5014,5687,4948,4049,4797,5039,4534,2825,2207,2308,2007,1502,1.0
워터밤 2022,2022-06-26,12:00,22:00,2호선,강남,하차,122,499,621,1302,2080,1799,2294,2975,3296,2719,2793,2816,2992,2671,1912,1700,1477,1346,780,3.0
bts 콘서트 2019,2019-10-26,18:30,,2호선,강남,하차,353,1173,1645,4136,7852,6541,5926,7882,9149,7894,6407,6562,7934,8041,5878,4333,3171,4531,2556,235.0
bts 콘서트 2019,2019-10-27,18:30,,2호선,강남,하차,169,763,1069,1939,3496,3261,3949,4902,6024,4894,4479,4739,4792,4410,3073,2468,2043,2850,1030,1.0
bts 콘서트 2019,2019-10-29,18:30,,2호선,강남,하차,560,2307,7511,16095,14593,7555,5226,4547,5726,4735,4713,5070,6753,9702,7187,2881,2180,3508,1331,443.0
bts 콘서트 2018,2018-08-25,18:30,,2호선,강남,하차,288,1105,1795,4106,7628,6328,6642,7749,8998,7709,6959,6843,7164,7419,5038,3679,3086,3884,1963,282.0
bts 콘서트 2018,2018-08-26,18:30,,2호선,강남,하차,124,696,1017,1770,3314,3029,3734,4721,5315,4597,3884,4378,4287,4045,3108,2126,1986,2562,887,22.0
조용필 콘서트 2018,2018-05-12,19:30,,2호선,강남,하차,300,1052,2053,4493,7999,6559,5516,7795,8677,7523,7159,7025,7601,7543,5198,3480,2814,2621,1897,242.0
월드 디제이 페스티벌,2018-05-26,14:00,22:00,2호선,강남,하차,308,1207,1965,4307,7924,6598,6449,7526,8961,7898,7267,6644,7499,7568,5122,3948,3608,3639,2823,308.0
월드 디제이 페스티벌,2018-05-27,14:00,22:00,2호선,강남,하차,169,779,944,1746,3217,3104,3455,4682,5707,4833,4171,4506,4772,4006,2876,2254,2284,2041,1537,0.0
아이유 콘서트,2022-09-17,19:00,21:30,2호선,교대(법원.검찰청),하차,126,762,940,1311,1840,1462,1766,1690,1773,1471,1276,1494,1632,1299,953,911,802,867,510,45.0
아이유 콘서트,2022-09-18,19:00,21:30,2호선,교대(법원.검찰청),하차,96,319,422,615,928,743,845,971,1049,1019,823,984,1053,860,729,574,556,533,387,5.0
싸이 흠뻑쇼,2022-07-15,18:42,22:40,2호선,교대(법원.검찰청),하차,274,1010,2445,7122,5671,2855,2244,2036,2292,2050,2024,2098,2754,3427,1959,973,845,915,714,208.0
싸이 흠뻑쇼,2022-07-16,18:42,22:40,2호선,교대(법원.검찰청),하차,129,624,931,1318,1803,1478,1602,1484,1619,1425,1201,1450,1600,1306,819,617,676,721,600,7.0
싸이 흠뻑쇼,2022-07-17,18:42,22:40,2호선,교대(법원.검찰청),하차,88,326,384,539,1044,790,762,911,901,849,729,848,927,843,573,558,564,565,325,6.0
워터밤 2022,2022-06-24,12:00,22:00,2호선,교대(법원.검찰청),하차,281,937,2335,6838,5947,2786,2333,2060,2172,1995,2123,2014,2971,3784,1961,985,867,873,722,214.0
워터밤 2022,2022-06-25,12:00,22:00,2호선,교대(법원.검찰청),하차,149,687,900,1320,1934,1536,1673,1594,1619,1457,1190,1578,1611,1314,813,653,755,688,496,34.0
워터밤 2022,2022-06-26,12:00,22:00,2호선,교대(법원.검찰청),하차,89,330,421,530,1019,713,785,814,1015,866,797,897,920,797,576,638,546,521,297,5.0
bts 콘서트 2019,2019-10-26,18:30,,2호선,교대(법원.검찰청),하차,148,1317,1584,1681,2564,2080,1919,2358,2346,2191,2082,2764,3326,3036,1735,1220,1008,1375,659,55.0
bts 콘서트 2019,2019-10-27,18:30,,2호선,교대(법원.검찰청),하차,105,518,673,762,1367,1096,1122,1378,1440,1342,1101,1282,1415,1305,924,813,805,891,447,6.0
bts 콘서트 2019,2019-10-29,18:30,,2호선,교대(법원.검찰청),하차,329,1193,2974,7879,6515,3406,2475,2186,2752,2389,2302,2286,2918,4225,2587,1282,1119,1365,612,207.0
bts 콘서트 2018,2018-08-25,18:30,,2호선,교대(법원.검찰청),하차,152,820,1298,1631,2412,1675,1693,2067,2381,1969,1589,1671,1960,1777,1095,986,918,1267,674,111.0
bts 콘서트 2018,2018-08-26,18:30,,2호선,교대(법원.검찰청),하차,112,441,568,903,1293,914,957,1189,1353,1140,1025,1141,1103,1057,719,806,655,787,367,2.0
조용필 콘서트 2018,2018-05-12,19:30,,2호선,교대(법원.검찰청),하차,171,971,1898,1501,2609,1829,1635,2478,2345,2134,1914,1816,2075,1825,1244,973,847,1006,673,82.0
월드 디제이 페스티벌,2018-05-26,14:00,22:00,2호선,교대(법원.검찰청),하차,191,1062,1692,1502,2607,1987,1902,2421,2378,2272,1951,1913,1885,1854,1194,1105,1013,1194,728,85.0
월드 디제이 페스티벌,2018-05-27,14:00,22:00,2호선,교대(법원.검찰청),하차,96,519,642,772,1394,993,1054,1337,1458,1263,1015,1126,1214,1048,713,779,805,723,569,3.0
아이유 콘서트,2022-09-17,19:00,21:30,2호선,사당,하차,159,1675,1004,1032,1748,1809,2305,2639,2473,2239,2874,3477,4125,3358,2336,2394,2064,2572,1913,216.0
아이유 콘서트,2022-09-18,19:00,21:30,2호선,사당,하차,91,1108,807,742,1365,1420,1549,1960,1893,1700,1747,2132,2324,2347,1897,1702,1585,1622,1310,63.0
싸이 흠뻑쇼,2022-07-15,18:42,22:40,2호선,사당,하차,175,993,1825,2933,1759,1417,1600,1676,1671,1691,2070,2824,4824,7907,4916,2325,2258,2671,2455,726.0
싸이 흠뻑쇼,2022-07-16,18:42,22:40,2호선,사당,하차,142,1360,1062,1054,1372,1602,2360,2404,2332,2101,2454,3306,3904,3280,2036,1796,2141,2214,2025,121.0
싸이 흠뻑쇼,2022-07-17,18:42,22:40,2호선,사당,하차,77,1042,697,673,1017,1016,1432,1558,1556,1533,1764,1908,2117,2042,1745,1477,1613,1373,1012,78.0
워터밤 2022,2022-06-24,12:00,22:00,2호선,사당,하차,183,911,1798,2757,1833,1435,1744,1769,1773,1763,2123,3204,5148,8103,5434,2640,2227,2812,2607,840.0
워터밤 2022,2022-06-25,12:00,22:00,2호선,사당,하차,169,1561,1154,1255,1698,1804,2565,2643,2372,2265,2670,3988,4437,3253,2117,1925,2456,2371,1632,274.0
워터밤 2022,2022-06-26,12:00,22:00,2호선,사당,하차,111,961,580,630,1122,1145,1592,1753,1808,1602,1858,2211,2328,2129,1781,1692,1706,1552,839,56.0
bts 콘서트 2019,2019-10-26,18:30,,2호선,사당,하차,190,2109,1783,1703,2248,2085,2624,2826,2846,3015,3085,3976,4856,4737,3388,2889,2866,3285,2334,298.0
bts 콘서트 2019,2019-10-27,18:30,,2호선,사당,하차,145,1731,1306,1062,1635,1500,1603,1985,2101,2081,2406,2728,2899,3074,2356,2153,2085,2266,1135,72.0
bts 콘서트 2019,2019-10-29,18:30,,2호선,사당,하차,156,1171,2260,3898,2492,1803,1984,1822,1841,1920,2252,3048,4578,7161,5494,3090,2798,3457,1710,667.0
bts 콘서트 2018,2018-08-25,18:30,,2호선,사당,하차,142,1263,1007,1505,1979,1842,2117,2660,2500,2578,3007,3691,4389,4271,2923,2520,2611,3100,2131,209.0
bts 콘서트 2018,2018-08-26,18:30,,2호선,사당,하차,84,1020,793,798,1451,1385,1439,1717,1845,1882,2001,2399,2443,2642,2114,2096,1936,2175,1079,93.0
조용필 콘서트 2018,2018-05-12,19:30,,2호선,사당,하차,134,1771,1500,1840,1952,1766,2324,2764,2711,2677,2709,3649,4385,4468,2956,2260,2334,2836,2401,250.0
월드 디제이 페스티벌,2018-05-26,14:00,22:00,2호선,사당,하차,154,1735,1909,1862,2174,2076,2427,2951,2705,2960,3041,3679,4536,4527,3101,2833,3006,3016,2488,411.0
월드 디제이 페스티벌,2018-05-27,14:00,22:00,2호선,사당,하차,85,1279,1031,1082,1598,1633,1651,1822,2108,1936,2039,2493,3173,2783,2271,2159,2382,2086,1419,121.0
아이유 콘서트,2022-09-17,19:00,21:30,2호선,대림(구로구청),하차,120,263,318,640,849,879,1031,1251,1133,1079,1217,1703,1966,1561,1261,1045,1588,1258,942,83.0
아이유 콘서트,2022-09-18,19:00,21:30,2호선,대림(구로구청),하차,78,250,247,505,727,1131,1243,1023,1124,1024,1052,1212,1198,1126,978,939,1242,963,545,14.0
싸이 흠뻑쇼,2022-07-15,18:42,22:40,2호선,대림(구로구청),하차,127,424,1057,2282,1226,885,876,978,1032,1011,1335,1673,2206,2739,2143,1341,1743,1723,968,428.0
싸이 흠뻑쇼,2022-07-16,18:42,22:40,2호선,대림(구로구청),하차,120,339,355,661,798,954,1025,1115,1092,1132,1297,1555,1965,1398,1172,1130,1546,1347,874,44.0
싸이 흠뻑쇼,2022-07-17,18:42,22:40,2호선,대림(구로구청),하차,75,250,281,513,724,1188,1494,1113,1043,956,937,1072,1136,1085,929,882,1164,1034,551,42.0
워터밤 2022,2022-06-24,12:00,22:00,2호선,대림(구로구청),하차,117,435,903,2334,1238,908,990,1023,1072,1079,1261,1642,2274,2625,2206,1375,1691,1752,972,346.0
워터밤 2022,2022-06-25,12:00,22:00,2호선,대림(구로구청),하차,151,307,359,682,844,960,1091,1204,1224,1112,1267,1753,2135,1544,1257,1059,1403,1481,848,66.0
워터밤 2022,2022-06-26,12:00,22:00,2호선,대림(구로구청),하차,97,309,294,503,723,1419,1493,1166,1075,1047,1130,1190,1280,1003,962,872,1121,916,540,23.0
bts 콘서트 2019,2019-10-26,18:30,,2호선,대림(구로구청),하차,150,448,550,1186,1017,1287,1308,1385,1545,1567,1617,1951,3154,2645,1737,1531,2196,1961,1210,311.0
bts 콘서트 2019,2019-10-27,18:30,,2호선,대림(구로구청),하차,157,457,414,636,1171,1909,2001,1601,1811,1812,1632,1756,1894,1861,1347,1135,1604,1573,875,17.0
bts 콘서트 2019,2019-10-29,18:30,,2호선,대림(구로구청),하차,134,469,1029,2768,1698,1321,1236,1212,1428,1363,1757,1917,2887,3664,2571,1793,2237,2422,1172,326.0
bts 콘서트 2018,2018-08-25,18:30,,2호선,대림(구로구청),하차,141,467,438,934,1280,1095,1216,1352,1445,1412,1575,1973,2591,2294,1643,1522,1842,1900,1183,174.0
bts 콘서트 2018,2018-08-26,18:30,,2호선,대림(구로구청),하차,105,353,379,643,1125,1617,1984,1306,1314,1462,1360,1493,1638,1526,1203,1178,1647,1334,722,41.0
조용필 콘서트 2018,2018-05-12,19:30,,2호선,대림(구로구청),하차,115,423,422,1238,1341,1101,1409,1257,1439,1578,1441,1925,2305,2076,1605,1399,1905,1835,1321,171.0
월드 디제이 페스티벌,2018-05-26,14:00,22:00,2호선,대림(구로구청),하차,168,468,468,1026,1140,1122,1276,1421,1509,1647,1647,2081,2812,2715,1897,1757,2059,2063,1338,252.0
월드 디제이 페스티벌,2018-05-27,14:00,22:00,2호선,대림(구로구청),하차,111,398,349,694,1283,1761,2325,1502,1525,1516,1614,1665,1897,1830,1554,1252,1763,1477,876,50.0
